case_id,ticker,company,proxy_source_url,proxy_filing_type,proxy_filing_date,background_section_available,background_heading,first_public_acquisition_announcement_date,prior_process_signal,prior_process_signal_type,prior_process_signal_date,relevant_excerpt,confidence,observation_date_candidate,observation_date_reasoning,remaining_evidence_gaps
RHC-0001-ACQUIRED-NPSP,NPSP,"NPS Pharmaceuticals, Inc.",https://www.sec.gov/Archives/edgar/data/890465/000104746915000380/a2222816zsc14d9.htm,SC 14D9,2015-01-23,TRUE,Background of the Offer,2015-01-12,NONE_FOUND,none found,,"October 9, 2014, an executive at a biopharmaceutical company ("" Party A "") contacted Francois Nader, the Company's President and Chief Executive Officer, and indicated that Party A wished to explore a possible combination of Party A with the Company. No offer price or other terms of any such transaction were proposed by Party A. Dr. Nader indicated that he would discuss Party A's interest with the Board. Later that day, Dr. Nader informed Peter Tombros, Chairman of the Board, of this...",MEDIUM,2015-01-12,"No public pre-announcement process signal was detected in the extracted background section. Private outreach, negotiations, diligence, and bid activity disclosed later are not public t=0 signals, so the acquisition announcement date remains the observation_date_candidate.",price-window verification; manual no-hit confirmation across pre-announcement 8-K/13D/10-K/10-Q filings; premium extraction review
RHC-0002-ACQUIRED-PCYC,PCYC,"Pharmacyclics, Inc.",https://www.sec.gov/Archives/edgar/data/949699/000119312515101106/d893590dsc14d9.htm,SC 14D9,2015-03-23,TRUE,Background of the Offer and the Merger,2015-03-06,NONE_FOUND,none found,,"September 25, 2014, and again in mid-November 2014, Mr. Duggan and Maky Zanganeh, Pharmacyclics’ chief operating officer, met with representatives of J.P. Morgan Securities LLC (“ J.P. Morgan ”), an investment bank with a long-standing relationship with Pharmacyclics, to discuss industry trends and market perspectives on Pharmacyclics. At both meetings the representatives of J.P. Morgan informed Mr. Duggan and Ms. Zanganeh that in regular dialogue multiple pharmaceutical companies had...",MEDIUM,2015-03-06,"No public pre-announcement process signal was detected in the extracted background section. Private outreach, negotiations, diligence, and bid activity disclosed later are not public t=0 signals, so the acquisition announcement date remains the observation_date_candidate.",price-window verification; manual no-hit confirmation across pre-announcement 8-K/13D/10-K/10-Q filings; premium extraction review
RHC-0003-ACQUIRED-ZSPH,ZSPH,"ZS Pharma, Inc.",https://www.sec.gov/Archives/edgar/data/1459266/000119312515380466/d28720dsc14d9.htm,SC 14D9,2015-11-18,TRUE,Background of the Offer,2015-11-06,NONE_FOUND,none found,,"July 29, 2015, the Company announced that its NDA had been accepted for filing by the FDA and that the Prescription Drug User Fee Act (“ PDUFA ”) goal date for a decision by the FDA is May 26, 2016. During the summer of 2015, Dr. Alexander was contacted by an investment banker who suggested that a publicly traded pharmaceutical company referred to in this Schedule 14D-9 as “ Party A ” was potentially interested in engaging in a strategic transaction with the Company. At that time, the Company...",MEDIUM,2015-11-06,"No public pre-announcement process signal was detected in the extracted background section. Private outreach, negotiations, diligence, and bid activity disclosed later are not public t=0 signals, so the acquisition announcement date remains the observation_date_candidate.",price-window verification; manual no-hit confirmation across pre-announcement 8-K/13D/10-K/10-Q filings; premium extraction review
RHC-0004-ACQUIRED-ANAC,ANAC,"Anacor Pharmaceuticals, Inc.",https://www.sec.gov/Archives/edgar/data/1411158/000119312516603880/d319707dsc14d9.htm,SC 14D9,2016-05-26,TRUE,Background of the Proposed Transaction,2016-05-16,NONE_FOUND,none found,,"August 10, 2015, Mr. Berns met with the Chief Executive Officer of Party A (the “ Party A CEO ”). At such meeting, the Party A CEO informed Mr. Berns that Party A was interested in conducting due diligence and exploring a potential acquisition of the Company. The Party A CEO further indicated that, subject to Party A’s review of limited, confidential due diligence information regarding the Company, Party A could be in a position to provide an indicative valuation range in the near term. That...",MEDIUM,2016-05-16,"No public pre-announcement process signal was detected in the extracted background section. Private outreach, negotiations, diligence, and bid activity disclosed later are not public t=0 signals, so the acquisition announcement date remains the observation_date_candidate.",price-window verification; manual no-hit confirmation across pre-announcement 8-K/13D/10-K/10-Q filings; premium extraction review
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",https://www.sec.gov/Archives/edgar/data/1011835/000119312516696911/d234696dsc14d9.htm,SC 14D9,2016-08-30,TRUE,Background of Offer and Merger,2016-08-22,FOUND_PUBLIC,outreach / competing bids,2016-04-28,"On April 28, 2016, Sanofi issued a press release publicly announcing Sanofi’s $52.50 proposal.",MEDIUM,2016-04-28,A public pre-announcement acquisition signal appears in the background section; use the first public signal date as observation_date_candidate pending contemporaneous source confirmation.,price-window verification; contemporaneous public-source confirmation for prior signal date; premium extraction review
RHC-0008-ACQUIRED-TBRA,TBRA,"Tobira Therapeutics, Inc.",https://www.sec.gov/Archives/edgar/data/1311596/000119312516729446/d264761dsc14d9.htm,SC 14D9,2016-10-03,TRUE,Background of the Transaction,2016-09-20,NOT_REVIEWED,not reviewed,,"Background of the Transaction. The Tobira Board regularly reviews and evaluates with the assistance of senior management potential collaborations and other strategic opportunities to advance the clinical development of CVC and other product candidates and preclinical programs, finance the Company clinical development efforts and enhance value for the Company stockholders.",MEDIUM,,Background section located in second evidence pass. Prior process signal review is still required before selecting an observation_date_candidate.,prior process signal review; observation date selection; premium extraction; price-window verification
RHC-0010-ACQUIRED-ARIA,ARIA,"ARIAD Pharmaceuticals, Inc.",https://www.sec.gov/Archives/edgar/data/884731/000119312517013286/d281553dsc14d9.htm,SC 14D9,2017-01-18,TRUE,Background of Offer and Merger,2017-01-09,NOT_REVIEWED,not reviewed,,"Background of Offer and Merger. The Company has regularly evaluated different strategies for improving its competitive position and enhancing stockholder value. As part of these evaluations, the Company has, from time to time, considered various strategic alternatives in pursuing its business plan, including acquisitions, mergers, divestitures, joint ventures, collaborations and business combinations, such as a sale of the Company.",MEDIUM,,Background section located in second evidence pass. Prior process signal review is still required before selecting an observation_date_candidate.,prior process signal review; observation date selection; premium extraction; price-window verification
RHC-0013-ACQUIRED-KITE,KITE,"Kite Pharma, Inc.",https://www.sec.gov/Archives/edgar/data/1510580/000119312517276737/d450961dsc14d9.htm,SC 14D9,2017-09-05,TRUE,Background of the Offer and the Merger,2017-08-28,NOT_REVIEWED,not reviewed,,"Background of the Offer and the Merger. Since its inception, the Company has regularly met with other biotech and pharmaceutical companies regarding a variety of potential partnerships, joint ventures, collaborations and other strategic transactions and has from time to time been presented with opportunities to sell the entire company.",MEDIUM,,Background section located in second evidence pass. Prior process signal review is still required before selecting an observation_date_candidate.,prior process signal review; observation date selection; premium extraction; price-window verification
RHC-0015-ACQUIRED-BIVV,BIVV,Bioverativ Inc.,https://www.sec.gov/Archives/edgar/data/1681689/000104746918000655/a2234467zsc14d9.htm,SC 14D9,2018-02-07,TRUE,Background of the Offer and Merger,2018-01-22,NOT_REVIEWED,not reviewed,,"Background of the Offer and Merger. The Company became an independent, publicly traded company on February 1, 2017. Following such time, the Company has regularly evaluated different strategies for improving its competitive position and enhancing stockholder value.",MEDIUM,,Background section located in second evidence pass. Prior process signal review is still required before selecting an observation_date_candidate.,prior process signal review; observation date selection; premium extraction; price-window verification
RHC-0017-ACQUIRED-JUNO,JUNO,"Juno Therapeutics, Inc.",https://www.sec.gov/Archives/edgar/data/1594864/000119312518030824/d514862dsc14d9.htm,SC 14D9,2018-02-02,TRUE,Background of the Transaction,2018-01-22,NOT_REVIEWED,not reviewed,,"Background of the Transaction. Juno and Celgene are parties to a number of agreements, including the Collaboration Agreement and the Voting and Standstill Agreement and certain other agreements as described more fully in Arrangements with Celgene and Purchaser and their Affiliates.",MEDIUM,,Background section located in second evidence pass. Prior process signal review is still required before selecting an observation_date_candidate.,prior process signal review; observation date selection; premium extraction; price-window verification
