case_id,ticker,company,consideration_status,deal_price_or_consideration,consideration_source_evidence_id,consideration_source_url,consideration_excerpt,premium_status,premium_value,premium_source_url,confidence,remaining_gaps
RHC-0001-ACQUIRED-NPSP,NPSP,"NPS Pharmaceuticals, Inc.",FOUND,$46.00 per share,cases_partial.csv,https://www.sec.gov/Archives/edgar/data/890465/000110465915001685/a15-2148_18k.htm,"NPS Pharmaceuticals, Inc. entered into an Agreement and Plan of Merger with Shire Pharmaceutical Holdings Ireland Limited and Knight Newco 2, Inc.",MISSING,,,MEDIUM,premium extraction
RHC-0002-ACQUIRED-PCYC,PCYC,"Pharmacyclics, Inc.",FOUND,$261.25 per share,cases_partial.csv,https://www.sec.gov/Archives/edgar/data/949699/000119312515081198/d885732d8k.htm,"Each share of Company Common Stock may be converted into the right to receive $261.25 in cash, or $152.25 in cash and shares of AbbVie common stock.",MISSING,,,MEDIUM,premium extraction
RHC-0003-ACQUIRED-ZSPH,ZSPH,"ZS Pharma, Inc.",FOUND,$90.00 per share,cases_partial.csv,https://www.sec.gov/Archives/edgar/data/1459266/000119312515369081/d73329d8k.htm,Merger Sub will commence an offer to purchase all outstanding shares of Company common stock at a purchase price of $90.00 per share in cash.,MISSING,,,MEDIUM,premium extraction
RHC-0004-ACQUIRED-ANAC,ANAC,"Anacor Pharmaceuticals, Inc.",FOUND,$99.25 per share,cases_partial.csv,https://www.sec.gov/Archives/edgar/data/1411158/000095010316013361/dp65732_8k.htm,"Anacor Pharmaceuticals, Inc. entered into an Agreement and Plan of Merger with Pfizer Inc. and Quattro Merger Sub Inc.",MISSING,,,MEDIUM,premium extraction
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",FOUND,$81.50 per share,cases_partial.csv,https://www.sec.gov/Archives/edgar/data/1011835/000119312516686961/d245915d8k.htm,"Medivation, Inc. entered into an Agreement and Plan of Merger with Pfizer Inc. and Montreal, Inc.",MISSING,,,MEDIUM,premium extraction
RHC-0008-ACQUIRED-TBRA,TBRA,"Tobira Therapeutics, Inc.",FOUND,$28.35 per Share in cash plus one contingent value right per Share,RHC-0008-ACQUIRED-TBRA-SRC-001,https://www.sec.gov/Archives/edgar/data/1311596/000119312516714192/d249853d8k.htm,"On September 19, 2016, Tobira Therapeutics, Inc. entered into an Agreement and Plan of Merger with Allergan Holdco US, Inc. and Sapphire Acquisition Corp. Purchaser will commence a tender offer to acquire all outstanding shares at a purchase price of $28.35 per Share in cash plus one contingent value right per Share.",MISSING,,,HIGH,premium extraction
RHC-0010-ACQUIRED-ARIA,ARIA,"ARIAD Pharmaceuticals, Inc.",FOUND,$24.00 per Share in cash,RHC-0010-ACQUIRED-ARIA-SRC-001,https://www.sec.gov/Archives/edgar/data/884731/000110465917001730/a17-1652_18k.htm,"On January 8, 2017, ARIAD Pharmaceuticals, Inc. entered into an Agreement and Plan of Merger with Takeda Pharmaceutical Company Limited and Kiku Merger Co., Inc. Merger Sub will commence a tender offer to acquire all outstanding shares at a purchase price of $24.00 per Share in cash.",MISSING,,,HIGH,premium extraction
RHC-0013-ACQUIRED-KITE,KITE,"Kite Pharma, Inc.",FOUND,$180.00 per Share in cash,RHC-0013-ACQUIRED-KITE-SRC-001,https://www.sec.gov/Archives/edgar/data/1510580/000119312517269386/d441582d8k.htm,"On August 27, 2017, Kite Pharma, Inc. entered into an Agreement and Plan of Merger with Gilead Sciences, Inc. and Dodgers Merger Sub, Inc. Purchaser will commence a tender offer to purchase all outstanding shares at a price of $180.00 per Share in cash.",MISSING,,,HIGH,premium extraction
RHC-0015-ACQUIRED-BIVV,BIVV,Bioverativ Inc.,FOUND,$105.00 per Share in cash,RHC-0015-ACQUIRED-BIVV-SRC-001,https://www.sec.gov/Archives/edgar/data/1681689/000110465918003187/a18-3545_18k.htm,"On January 21, 2018, Bioverativ Inc. entered into an Agreement and Plan of Merger with Sanofi and Blink Acquisition Corp. Merger Sub will commence a tender offer to acquire all outstanding shares at a purchase price of $105.00 per Share in cash.",MISSING,,,HIGH,premium extraction
RHC-0017-ACQUIRED-JUNO,JUNO,"Juno Therapeutics, Inc.",FOUND,$87.00 per Juno Share in cash,RHC-0017-ACQUIRED-JUNO-SRC-001,https://www.sec.gov/Archives/edgar/data/1594864/000119312518015255/d531432d8k.htm,"On January 21, 2018, Celgene Corporation entered into an Agreement and Plan of Merger with Juno Therapeutics, Inc. and Blue Magpie Corporation. Purchaser will commence a tender offer for all outstanding Juno Shares at a purchase price of $87.00 per Juno Share in cash.",MISSING,,,HIGH,premium extraction
