candidate_id,ticker,company_name,likely_outcome_year,merger_8k_query,proxy_query,background_section_needed,prior_process_signal_query,deal_terms_needed,price_window_needed,recommended_status,next_best_action,notes
RHC-0001-ACQUIRED-NPSP,NPSP,"NPS Pharmaceuticals, Inc.",2015,https://efts.sec.gov/LATEST/search-index?q=NPSP+%22NPS+Pharmaceuticals%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,https://efts.sec.gov/LATEST/search-index?q=NPSP+%22NPS+Pharmaceuticals%2C+Inc.%22+%22background+of+the+merger%22+OR+%22reasons+for+the+merger%22+OR+%22premium%22&forms=DEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,TRUE,https://efts.sec.gov/LATEST/search-index?q=NPSP+%22NPS+Pharmaceuticals%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,deal_announcement_date|acquirer|deal_price_or_consideration|premium_if_available|consideration_type,TRUE,PARTIAL,"Complete background section extraction, prior process signal review, premium extraction, observation-date review, and price-window verification before VERIFIED.",Promoted to structured PARTIAL on 2026-05-12 because verified EDGAR merger 8-K evidence supports the core acquisition event. Missing fields remain documented in cases_partial.csv notes.
RHC-0002-ACQUIRED-PCYC,PCYC,"Pharmacyclics, Inc.",2015,https://efts.sec.gov/LATEST/search-index?q=PCYC+%22Pharmacyclics%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,https://efts.sec.gov/LATEST/search-index?q=PCYC+%22Pharmacyclics%2C+Inc.%22+%22background+of+the+merger%22+OR+%22reasons+for+the+merger%22+OR+%22premium%22&forms=DEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,TRUE,https://efts.sec.gov/LATEST/search-index?q=PCYC+%22Pharmacyclics%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,deal_announcement_date|acquirer|deal_price_or_consideration|premium_if_available|consideration_type,TRUE,PARTIAL,"Complete background section extraction, prior process signal review, premium extraction, observation-date review, and price-window verification before VERIFIED.",Promoted to structured PARTIAL on 2026-05-12 because verified EDGAR merger 8-K evidence supports the core acquisition event. Missing fields remain documented in cases_partial.csv notes.
RHC-0003-ACQUIRED-ZSPH,ZSPH,"ZS Pharma, Inc.",2015,https://efts.sec.gov/LATEST/search-index?q=ZSPH+%22ZS+Pharma%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,https://efts.sec.gov/LATEST/search-index?q=ZSPH+%22ZS+Pharma%2C+Inc.%22+%22background+of+the+merger%22+OR+%22reasons+for+the+merger%22+OR+%22premium%22&forms=DEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,TRUE,https://efts.sec.gov/LATEST/search-index?q=ZSPH+%22ZS+Pharma%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,deal_announcement_date|acquirer|deal_price_or_consideration|premium_if_available|consideration_type,TRUE,PARTIAL,"Complete background section extraction, prior process signal review, premium extraction, observation-date review, and price-window verification before VERIFIED.",Promoted to structured PARTIAL on 2026-05-12 because verified EDGAR merger 8-K evidence supports the core acquisition event. Missing fields remain documented in cases_partial.csv notes.
RHC-0004-ACQUIRED-ANAC,ANAC,"Anacor Pharmaceuticals, Inc.",2016,https://efts.sec.gov/LATEST/search-index?q=ANAC+%22Anacor+Pharmaceuticals%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2016-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=ANAC+%22Anacor+Pharmaceuticals%2C+Inc.%22+%22background+of+the+merger%22+OR+%22reasons+for+the+merger%22+OR+%22premium%22&forms=DEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2016-01-01&enddt=2016-12-31,TRUE,https://efts.sec.gov/LATEST/search-index?q=ANAC+%22Anacor+Pharmaceuticals%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,deal_announcement_date|acquirer|deal_price_or_consideration|premium_if_available|consideration_type,TRUE,PARTIAL,"Complete background section extraction, prior process signal review, premium extraction, observation-date review, and price-window verification before VERIFIED.",Promoted to structured PARTIAL on 2026-05-12 because verified EDGAR merger 8-K evidence supports the core acquisition event. Missing fields remain documented in cases_partial.csv notes.
RHC-0005-ACQUIRED-CPXX,CPXX,"Celator Pharmaceuticals, Inc.",2016,https://efts.sec.gov/LATEST/search-index?q=CPXX+%22Celator+Pharmaceuticals%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2016-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=CPXX+%22Celator+Pharmaceuticals%2C+Inc.%22+%22background+of+the+merger%22+OR+%22reasons+for+the+merger%22+OR+%22premium%22&forms=DEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2016-01-01&enddt=2016-12-31,TRUE,https://efts.sec.gov/LATEST/search-index?q=CPXX+%22Celator+Pharmaceuticals%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,deal_announcement_date|acquirer|deal_price_or_consideration|premium_if_available|consideration_type,TRUE,NEEDS_MANUAL_RESEARCH,"Check EDGAR manually for tender-offer, 6-K, proxy, or foreign-issuer transaction filings before extracting fields.",Tender-offer path may require SC TO-T/SC TO-I plus Schedule 14D-9 rather than a standard merger proxy.
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016,https://efts.sec.gov/LATEST/search-index?q=MDVN+%22Medivation%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2016-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=MDVN+%22Medivation%2C+Inc.%22+%22background+of+the+merger%22+OR+%22reasons+for+the+merger%22+OR+%22premium%22&forms=DEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2016-01-01&enddt=2016-12-31,TRUE,https://efts.sec.gov/LATEST/search-index?q=MDVN+%22Medivation%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,deal_announcement_date|acquirer|deal_price_or_consideration|premium_if_available|consideration_type,TRUE,PARTIAL,"Complete background section extraction, prior process signal review, premium extraction, observation-date review, and price-window verification before VERIFIED.",Promoted to structured PARTIAL on 2026-05-12 because verified EDGAR merger 8-K evidence supports the core acquisition event. Missing fields remain documented in cases_partial.csv notes.
RHC-0007-ACQUIRED-RLYP,RLYP,"Relypsa, Inc.",2016,https://efts.sec.gov/LATEST/search-index?q=RLYP+%22Relypsa%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2016-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=RLYP+%22Relypsa%2C+Inc.%22+%22background+of+the+merger%22+OR+%22reasons+for+the+merger%22+OR+%22premium%22&forms=DEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2016-01-01&enddt=2016-12-31,TRUE,https://efts.sec.gov/LATEST/search-index?q=RLYP+%22Relypsa%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,deal_announcement_date|acquirer|deal_price_or_consideration|premium_if_available|consideration_type,TRUE,NEEDS_MANUAL_RESEARCH,"Check EDGAR manually for tender-offer, 6-K, proxy, or foreign-issuer transaction filings before extracting fields.",Tender-offer path may require SC TO-T/SC TO-I plus Schedule 14D-9 rather than a standard merger proxy.
RHC-0008-ACQUIRED-TBRA,TBRA,"Tobira Therapeutics, Inc.",2016,https://efts.sec.gov/LATEST/search-index?q=TBRA+%22Tobira+Therapeutics%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2016-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=TBRA+%22Tobira+Therapeutics%2C+Inc.%22+%22background+of+the+merger%22+OR+%22reasons+for+the+merger%22+OR+%22premium%22&forms=DEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2016-01-01&enddt=2016-12-31,TRUE,https://efts.sec.gov/LATEST/search-index?q=TBRA+%22Tobira+Therapeutics%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,deal_announcement_date|acquirer|deal_price_or_consideration|premium_if_available|consideration_type,TRUE,PARTIAL_READY,"Open merger 8-K first, extract acquirer and consideration, then confirm proxy background section.",Candidate only. Outcome and prior process evidence require primary-source verification.
RHC-0009-ACQUIRED-VTAE,VTAE,"Vitae Pharmaceuticals, Inc.",2016,https://efts.sec.gov/LATEST/search-index?q=VTAE+%22Vitae+Pharmaceuticals%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2016-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=VTAE+%22Vitae+Pharmaceuticals%2C+Inc.%22+%22background+of+the+merger%22+OR+%22reasons+for+the+merger%22+OR+%22premium%22&forms=DEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2016-01-01&enddt=2016-12-31,TRUE,https://efts.sec.gov/LATEST/search-index?q=VTAE+%22Vitae+Pharmaceuticals%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,deal_announcement_date|acquirer|deal_price_or_consideration|premium_if_available|consideration_type,TRUE,NEEDS_MANUAL_RESEARCH,"Check EDGAR manually for tender-offer, 6-K, proxy, or foreign-issuer transaction filings before extracting fields.",Tender-offer path may require SC TO-T/SC TO-I plus Schedule 14D-9 rather than a standard merger proxy.
RHC-0010-ACQUIRED-ARIA,ARIA,"ARIAD Pharmaceuticals, Inc.",2017,https://efts.sec.gov/LATEST/search-index?q=ARIA+%22ARIAD+Pharmaceuticals%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2017-01-01&enddt=2017-12-31,https://efts.sec.gov/LATEST/search-index?q=ARIA+%22ARIAD+Pharmaceuticals%2C+Inc.%22+%22background+of+the+merger%22+OR+%22reasons+for+the+merger%22+OR+%22premium%22&forms=DEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2017-01-01&enddt=2017-12-31,TRUE,https://efts.sec.gov/LATEST/search-index?q=ARIA+%22ARIAD+Pharmaceuticals%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22prior+outreach%22+OR+%22competing+bids%22+OR+%22Item+4%22+OR+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA%2CDEFM14A%2CDEF+14A&dateRange=custom&startdt=2015-01-01&enddt=2017-12-31,deal_announcement_date|acquirer|deal_price_or_consideration|premium_if_available|consideration_type,TRUE,PARTIAL_READY,"Open merger 8-K first, extract acquirer and consideration, then confirm proxy background section.",Candidate only. Outcome and prior process evidence require primary-source verification.
