case_id,ticker,company_name,acquisition_announcement_date
RHC-0051-ACQUIRED-EPZM,EPZM,Epizyme Inc.,2022-06-27
RHC-0052-ACQUIRED-FMTX,FMTX,Forma Therapeutics Holdings Inc.,2022-09-01
RHC-0053-ACQUIRED-GBT,GBT,Global Blood Therapeutics Inc.,2022-08-08
RHC-0054-ACQUIRED-IMGO,IMGO,Imago BioSciences Inc.,2022-11-21
RHC-0055-ACQUIRED-OYST,OYST,Oyster Point Pharma Inc.,2022-11-08
RHC-0056-ACQUIRED-SRRA,SRRA,Sierra Oncology Inc.,2022-04-13
RHC-0057-ACQUIRED-TPTX,TPTX,Turning Point Therapeutics Inc.,2022-06-03
RHC-0058-ACQUIRED-BLU,BLU,BELLUS Health Inc.,2023-04-18
RHC-0059-ACQUIRED-CINC,CINC,CinCor Pharma Inc.,2023-01-09
RHC-0060-ACQUIRED-CTIC,CTIC,CTI BioPharma Corp.,2023-05-10
RHC-0061-ACQUIRED-DICE,DICE,DICE Therapeutics Inc.,2023-06-20
RHC-0062-ACQUIRED-HARP,HARP,Harpoon Therapeutics Inc.,2024-01-08
RHC-0063-ACQUIRED-ISEE,ISEE,IVERIC bio Inc.,2023-05-01
RHC-0064-ACQUIRED-RETA,RETA,Reata Pharmaceuticals Inc.,2023-07-31
RHC-0066-ACQUIRED-ZYNE,ZYNE,Zynerba Pharmaceuticals Inc.,2023-08-14
RHC-0067-ACQUIRED-ALPN,ALPN,Alpine Immune Sciences Inc.,2024-04-10
RHC-0068-ACQUIRED-AMAM,AMAM,Ambrx Biopharma Inc.,2024-01-08
RHC-0069-ACQUIRED-CBAY,CBAY,CymaBay Therapeutics Inc.,2024-02-12
RHC-0070-ACQUIRED-CERE,CERE,Cerevel Therapeutics Holdings Inc.,2023-12-07
RHC-0071-ACQUIRED-DCPH,DCPH,Deciphera Pharmaceuticals Inc.,2024-04-29
