case_id,ticker,company,likely_outcome_year,current_announcement_date,date_confidence,needs_date_backfill,edgar_company_search_url,edgar_merger_8k_query_url,edgar_sc14d9_query_url,suggested_query_terms,notes
RHC-0051-ACQUIRED-EPZM,EPZM,Epizyme,2022,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=EPZM&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Epizyme%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2021-01-01&enddt=2023-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Epizyme%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2021-01-01&enddt=2023-12-31","""Epizyme"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0052-ACQUIRED-FMTX,FMTX,"Forma Therapeutics Holdings, Inc.",2022,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=FMTX&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Forma%20Therapeutics%20Holdings%2C%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2021-01-01&enddt=2023-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Forma%20Therapeutics%20Holdings%2C%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2021-01-01&enddt=2023-12-31","""Forma Therapeutics Holdings, Inc."" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0053-ACQUIRED-GBT,GBT,"Global Blood Therapeutics, Inc.",2022,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=GBT&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Global%20Blood%20Therapeutics%2C%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2021-01-01&enddt=2023-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Global%20Blood%20Therapeutics%2C%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2021-01-01&enddt=2023-12-31","""Global Blood Therapeutics, Inc."" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0054-ACQUIRED-IMGO,IMGO,Imago BioSciences,2022,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=IMGO&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Imago%20BioSciences%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2021-01-01&enddt=2023-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Imago%20BioSciences%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2021-01-01&enddt=2023-12-31","""Imago BioSciences"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0055-ACQUIRED-OYST,OYST,Oyster Point Pharma,2022,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=OYST&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Oyster%20Point%20Pharma%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2021-01-01&enddt=2023-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Oyster%20Point%20Pharma%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2021-01-01&enddt=2023-12-31","""Oyster Point Pharma"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0056-ACQUIRED-SRRA,SRRA,Sierra Oncology,2022,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=SRRA&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Sierra%20Oncology%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2021-01-01&enddt=2023-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Sierra%20Oncology%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2021-01-01&enddt=2023-12-31","""Sierra Oncology"" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0057-ACQUIRED-TPTX,TPTX,"Turning Point Therapeutics, Inc.",2022,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=TPTX&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Turning%20Point%20Therapeutics%2C%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2021-01-01&enddt=2023-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Turning%20Point%20Therapeutics%2C%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2021-01-01&enddt=2023-12-31","""Turning Point Therapeutics, Inc."" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0058-ACQUIRED-BLU,BLU,BELLUS Health Inc.,2023,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=BLU&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22BELLUS%20Health%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","https://efts.sec.gov/LATEST/search-index?q=%22BELLUS%20Health%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","""BELLUS Health Inc."" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0059-ACQUIRED-CINC,CINC,"CinCor Pharma, Inc.",2023,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=CINC&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22CinCor%20Pharma%2C%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","https://efts.sec.gov/LATEST/search-index?q=%22CinCor%20Pharma%2C%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","""CinCor Pharma, Inc."" ""agreement and plan of merger""",No announcement date in dates file.
RHC-0060-ACQUIRED-CTIC,CTIC,CTI BioPharma,2023,,,TRUE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=CTIC&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22CTI%20BioPharma%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","https://efts.sec.gov/LATEST/search-index?q=%22CTI%20BioPharma%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","""CTI BioPharma"" ""agreement and plan of merger""",No announcement date in dates file.
