case_id,ticker,company_name,announcement_date,filing_date,filing_type,accession_number,source_url,possible_signal_type,keyword_hits,excerpt_if_available,confidence,recommended_status
RHC-0051-ACQUIRED-EPZM,EPZM,Epizyme Inc.,2022-06-27,2022-05-10,10-Q,0000950170-22-008721,https://www.sec.gov/Archives/edgar/data/1571498/000095017022008721/0000950170-22-008721-index.htm,rofr_rofn,right of first negotiation,"etaining development and commercialization rights in Japan, as well as a right to elect to manufacture tazemetostat and any other EZH2 product candidates in Japan, and a right of first negotiation for the rest of Asia. Eisai waived its right of first negotiation for the rest of Asia in 2018. 21 In March 2021, the Company and Eisai entered into a supply agreement providing for the manufacture and supply to Eisai o",LOW,POSSIBLE_HIT
RHC-0052-ACQUIRED-FMTX,FMTX,Forma Therapeutics Holdings Inc.,2022-09-01,2021-04-21,DEF 14A,0001193125-21-124838,https://www.sec.gov/Archives/edgar/data/1538927/000119312521124838/0001193125-21-124838-index.htm,sale_process,sale of the company,"llments thereafter, subject to such director’s continued service to us through the applicable vesting dates. Such awards are subject to full accelerated vesting upon the sale of the Company, subject to such director’s continued service to us through the date of such sale. Employee directors will receive no additional compensation for their service as a director. We will reimburse all reasonable out-of-pock",LOW,POSSIBLE_HIT
RHC-0052-ACQUIRED-FMTX,FMTX,Forma Therapeutics Holdings Inc.,2022-09-01,2021-05-14,10-Q,0001564590-21-028009,https://www.sec.gov/Archives/edgar/data/1538927/000156459021028009/0001564590-21-028009-index.htm,sale_process,sale of the company,", the Company used a probability-weighted expected returns method (“PWERM”) with four scenarios to value the common stock underlying the awards: an IPO, a delayed IPO, a sale of the Company and a remain private scenario. In the IPO and sale scenarios, the Company estimated an equity value based on the guideline public company method under a market approach. The guideline public companies consisted of bioph",LOW,POSSIBLE_HIT
RHC-0052-ACQUIRED-FMTX,FMTX,Forma Therapeutics Holdings Inc.,2022-09-01,2021-08-13,10-Q,0001564590-21-044302,https://www.sec.gov/Archives/edgar/data/1538927/000156459021044302/0001564590-21-044302-index.htm,sale_process,sale of the company,", the Company used a probability-weighted expected returns method (“PWERM”) with four scenarios to value the common stock underlying the awards: an IPO, a delayed IPO, a sale of the Company and a remain private scenario. In the IPO and sale scenarios, the Company estimated an equity value based on the guideline public company method under a market approach. The guideline public companies consisted of bioph",LOW,POSSIBLE_HIT
RHC-0052-ACQUIRED-FMTX,FMTX,Forma Therapeutics Holdings Inc.,2022-09-01,2021-11-12,10-Q,0000950170-21-004376,https://www.sec.gov/Archives/edgar/data/1538927/000095017021004376/0000950170-21-004376-index.htm,sale_process,sale of the company,", the Company used a probability-weighted expected returns method (“PWERM”) with four scenarios to value the common stock underlying the awards: an IPO, a delayed IPO, a sale of the Company and a remain private scenario. In the IPO and sale scenarios, the Company estimated an equity value based on the guideline public company method under a market approach. The guideline public companies consisted of bioph",LOW,POSSIBLE_HIT
RHC-0053-ACQUIRED-GBT,GBT,Global Blood Therapeutics Inc.,2022-08-08,2022-05-04,8-K,0001171843-22-003218,https://www.sec.gov/Archives/edgar/data/1629137/000117184322003218/0001171843-22-003218-index.htm,rofr_rofn,rofr,"*O$48B1U%RI! B\#M0-C$#1O Q+FI9]@0;6>F,Q M+5)2:(CB !U !8+:'4:DN^R,R,%'BX+YB%W2+)A(3NF""&[G-&A,%1H254R>9 MIFH6HP#!E#OOQA>[L""WA A2QU.%BXTHTOIIUJNBE!=80H""%U;LMZ828Q.(A( MRPC,(ROFR*DX3\,%S1(H #HC]'/!;2769Y]):,EHO[:L3!S!$T!=Y.4@=D'4 M2\_H /M%G C;:]+K2/@A!%( =@!4I/*&:Z_U%G,!&PC[7 M^0N1+>;J]0MT;B\8GE=L#"":1D$UKLTA5A/X6628.8>F@LQ6QH?PKIS@H970+ MT52&'L3M.:U6BR)#EV/!JOXNCUH*X 6FWR; L@CCE!J;AB)$&5E.+8'#BN",LOW,POSSIBLE_HIT
RHC-0054-ACQUIRED-IMGO,IMGO,Imago BioSciences Inc.,2022-11-21,2021-07-30,SC 13D,0001193125-21-231566,https://www.sec.gov/Archives/edgar/data/1623715/000119312521231566/0001193125-21-231566-index.htm,strategic_alternatives,strategic alternatives,"on, including, without limitation, engaging advisors, including legal, financial, regulatory, technical and/or industry advisors, to assist in any review, and evaluating strategic alternatives as they may become available. Such discussions and other actions may relate to various alternative courses of action, including, without limitation, those related to an extraordinary corporate transaction (including, bu",LOW,POSSIBLE_HIT
RHC-0055-ACQUIRED-OYST,OYST,Oyster Point Pharma Inc.,2022-11-08,2021-08-05,10-Q,0001720725-21-000075,https://www.sec.gov/Archives/edgar/data/1720725/000172072521000075/0001720725-21-000075-index.htm,rofr_rofn|sale_process,right of first negotiation|sale of the company,"he License Agreement. Subject to certain limitations, the Company may not commercialize any nAChR agonist in the Field in the Territory, without first offering Ji Xing a right of first negotiation for such product in the Territory. The Company has also granted Ji Xing a right of first negotiation to expand indications or uses of OC-01 (varenicline) or OC-02 (simpinicline) in the Territory. The Company will receiv",LOW,POSSIBLE_HIT
RHC-0055-ACQUIRED-OYST,OYST,Oyster Point Pharma Inc.,2022-11-08,2022-04-22,DEF 14A,0001720725-22-000036,https://www.sec.gov/Archives/edgar/data/1720725/000172072522000036/0001720725-22-000036-index.htm,retained_advisor,financial advisor,"Ozawa were paid to Versant Venture Management, LLC. (7) Mr. Santel joined the Board of Directors effective July 30, 2021. (8) Fees earned by Mr. Tsai were paid to Invus Financial Advisors, LLC. 25 We also reimburse our non-employee directors for their reasonable out-of-pocket costs and travel expenses in connection with their attendance at Board and committee meetings. Outside Director Compensation Poli",LOW,POSSIBLE_HIT
RHC-0055-ACQUIRED-OYST,OYST,Oyster Point Pharma Inc.,2022-11-08,2022-11-07,8-K,0001193125-22-278560,https://www.sec.gov/Archives/edgar/data/1720725/000119312522278560/0001193125-22-278560-index.htm,acquisition_proposal,acquisition proposal,"ding: the risk that the proposed acquisition of Oyster Point Pharma Inc. (“OP”) by Viatris Inc. (“Parent”) may not be completed; the possibility that competing offers or acquisition proposals for OP will be made; the delay or failure of the tender offer conditions to be satisfied (or waived), including insufficient shares of OP common stock being tendered in the tender offer; the failure (or delay) to recei",LOW,POSSIBLE_HIT
