ticker,case_id,announcement_date,hit_num,hit_of,accession_number,source_url,source_form,source_filing_date,days_before_announcement,hit_phrase,hit_classification,false_positive_pattern,evidence_summary,source_manually_pulled,source_context_inspected,case_final_classification,case_confidence,next_action
SGEN,RHC-0106-ACQUIRED-SGEN,2023-03-13,1,2,0001193125-21-277501,https://www.sec.gov/Archives/edgar/data/1060736/000119312521277501/0001193125-21-277501-index.htm,8-K,2021-09-21,538,rofn,FALSE_POSITIVE,BINARY_ARTIFACT,"UUEncoded binary artifact in complete submission .txt file. Garbled ASCII around keyword hit. Not readable text.",YES,YES,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
SGEN,RHC-0106-ACQUIRED-SGEN,2023-03-13,2,2,0001193125-21-278354,https://www.sec.gov/Archives/edgar/data/1060736/000119312521278354/0001193125-21-278354-index.htm,8-K,2021-09-21,538,rofn,ASSET_SPECIFIC_RIGHTS_ONLY,DEFINED_TERM_IN_LICENSE_EXHIBIT,"ROFN appears in defined terms index of Exhibit 2.1 (Seagen-RemeGen RC48 licensing agreement). ROFN Notice is a defined term in the collaboration license, not an ROFN over Seagen as a company.",YES,YES,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
TBIO,RHC-0132-ACQUIRED-TBIO,2021-08-03,1,1,0001193125-20-175955,https://www.sec.gov/Archives/edgar/data/1693415/000119312520175955/0001193125-20-175955-index.htm,8-K,2020-06-23,406,option to acquire,ASSET_SPECIFIC_RIGHTS_ONLY,ASSET_SPECIFIC_LICENSE_OPTION,"Sanofi Pasteur had option to acquire licenses to additional infectious disease pathogens (not Translate Bio as a company). The filing reports the option was REMOVED and replaced with a broader grant. Also includes equity investment standstill clause.",YES,YES,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
VSTM,RHC-0140-ACQUIRED-VSTM,2024-01-08,1,2,0001104659-22-115103,https://www.sec.gov/Archives/edgar/data/1526119/000110465922115103/0001104659-22-115103-index.htm,8-K,2022-11-07,427,right of first refusal,RIGHTS_LANGUAGE_ONLY,ROFR_WARRANTY_NEGATIVE,"BVF Partners share exchange (10M common for 1M preferred stock). ROFR appears as warranty: 'not subject to any agreement granting option warrant or right of first refusal.' Negative statement confirming no ROFR exists.",YES,YES,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
VSTM,RHC-0140-ACQUIRED-VSTM,2024-01-08,2,2,0001104659-23-073116,https://www.sec.gov/Archives/edgar/data/1526119/000110465923073116/0001104659-23-073116-index.htm,8-K,2023-06-21,201,sale of the company,RIGHTS_LANGUAGE_ONLY,SECURITIES_OFFERING_DISCLAIMER,"Underwritten public stock offering prospectus. 'Sale of Company's securities...being made only by means of a written prospectus meeting the requirements of Section 10 of the Securities Act.' Standard offering disclaimer, not acquisition process language.",YES,YES,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
LBPH,RHC-0077-ACQUIRED-LBPH,2024-10-15,1,2,0001193125-24-000675,https://www.sec.gov/Archives/edgar/data/1832168/000119312524000675/0001193125-24-000675-index.htm,8-K,2024-01-02,286,sale of the company,RIGHTS_LANGUAGE_ONLY,SECURITIES_OFFERING_DISCLAIMER,"Securities offering prospectus disclaimer: 'sale of the Company's securities...being made only by means of a written prospectus meeting the requirements of Section 10 of the Securities Act.' Standard boilerplate.",NO,YES_VIA_EXCERPT,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
LBPH,RHC-0077-ACQUIRED-LBPH,2024-10-15,2,2,0000950170-24-029952,https://www.sec.gov/Archives/edgar/data/1832168/000095017024029952/0000950170-24-029952-index.htm,10-K,2024-03-12,217,right of first negotiation,ASSET_SPECIFIC_RIGHTS_ONLY,ASSET_SPECIFIC_ROFN_PROGRAM,"Arena (Pfizer) has ROFN to acquire 'certain development and commercial rights to LP659 products.' Explicitly LP659 program-specific. UCB (actual acquirer) had no pre-announcement ROFN over Longboard as a company.",NO,YES_VIA_EXCERPT,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
G1T,RHC-0074-ACQUIRED-G1T,2024-08-07,1,4,0001628280-23-015220,https://www.sec.gov/Archives/edgar/data/1560241/000162828023015220/0001628280-23-015220-index.htm,10-Q,2023-05-03,461,right of first negotiation,ASSET_SPECIFIC_RIGHTS_ONLY,ASSET_SPECIFIC_ROFN_OWN_COMPOUND,"G1T licensed lerociclib to Incyclix and retains ROFN to re-acquire 'these assets.' G1T's own ROFN over its outbound-licensed compound to a spinout — not a third-party ROFN over G1T as a company.",NO,YES_VIA_EXCERPT,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
G1T,RHC-0074-ACQUIRED-G1T,2024-08-07,2,4,0001628280-23-026769,https://www.sec.gov/Archives/edgar/data/1560241/000162828023026769/0001628280-23-026769-index.htm,10-Q,2023-08-02,370,right of first negotiation,ASSET_SPECIFIC_RIGHTS_ONLY,ASSET_SPECIFIC_ROFN_OWN_COMPOUND,"Identical disclosure: G1T ROFN to re-acquire Incyclix licensed assets. Repeated boilerplate disclosure in quarterly report.",NO,YES_VIA_EXCERPT,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
G1T,RHC-0074-ACQUIRED-G1T,2024-08-07,3,4,0001628280-23-035947,https://www.sec.gov/Archives/edgar/data/1560241/000162828023035947/0001628280-23-035947-index.htm,10-Q,2023-11-01,279,right of first negotiation,ASSET_SPECIFIC_RIGHTS_ONLY,ASSET_SPECIFIC_ROFN_OWN_COMPOUND,"Identical disclosure: G1T ROFN to re-acquire Incyclix licensed assets. Repeated boilerplate disclosure in quarterly report.",NO,YES_VIA_EXCERPT,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
G1T,RHC-0074-ACQUIRED-G1T,2024-08-07,4,4,0001628280-24-019622,https://www.sec.gov/Archives/edgar/data/1560241/000162828024019622/0001628280-24-019622-index.htm,10-Q,2024-05-01,97,right of first negotiation,ASSET_SPECIFIC_RIGHTS_ONLY,ASSET_SPECIFIC_ROFN_OWN_COMPOUND,"Identical disclosure: G1T ROFN to re-acquire Incyclix licensed assets. 97 days before announcement but same boilerplate quarterly disclosure.",NO,YES_VIA_EXCERPT,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
HZNP,RHC-0105-ACQUIRED-HZNP,2022-12-12,1,3,0001193125-22-134596,https://www.sec.gov/Archives/edgar/data/1492426/000119312522134596/0001193125-22-134596-index.htm,8-K,2022-05-02,224,sale of the company,RIGHTS_LANGUAGE_ONLY,S8_EQUITY_PLAN_BOILERPLATE,"2020 Equity Incentive Plan amendment. S-8 registration boilerplate: 'offer or the sale of the Company's securities to such person.' Standard plan language defining consultant eligibility.",YES,YES,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
HZNP,RHC-0105-ACQUIRED-HZNP,2022-12-12,2,3,0000950170-22-020973,https://www.sec.gov/Archives/edgar/data/1492426/000095017022020973/0000950170-22-020973-index.htm,10-Q,2022-11-02,40,option to acquire,FALSE_POSITIVE,WRONG_DIRECTION_ACQUISITION,"HZNP received option to acquire ADX-914 program from Q32 Bio. HZNP is the acquiring party here. Not relevant to HZNP's own acquisition by AstraZeneca.",NO,YES_VIA_EXCERPT,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,HIGH,NONE
