queue_position,candidate_id,ticker,company,acquirer,announcement_date,announcement_year,confidence,inclusion_status,needs_date_backfill,needs_standard_deal_confirmation,source_url,edgar_company_search_url,recommended_action,notes
71,RHC-0104-ACQUIRED-ALBO,ALBO,Albireo Pharma,Ipsen,,2023,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=ALBO+%22Albireo+Pharma%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2023-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=ALBO&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
72,RHC-0101-ACQUIRED-CHMA,CHMA,Chiasma,Strongbridge,,2021,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=CHMA+%22Chiasma%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2021-01-01&enddt=2021-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=CHMA&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
73,RHC-0102-ACQUIRED-CNST,CNST,Constellation Pharmaceuticals,MorphoSys,,2021,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=CNST+%22Constellation+Pharmaceuticals%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2021-01-01&enddt=2021-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=CNST&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
74,RHC-0134-ACQUIRED-ENLV,ENLV,Enliven Therapeutics,EDGAR possible,,2023,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=ENLV+%22Enliven+Therapeutics%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2023-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=ENLV&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
75,RHC-0072-ACQUIRED-FATE,FATE,Fate Therapeutics,Johnson and Johnson,,2024,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=FATE+%22Fate+Therapeutics%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=FATE&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
76,RHC-0073-ACQUIRED-FUSN,FUSN,Fusion Pharmaceuticals Inc.,AstraZeneca,,2024,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=FUSN+%22Fusion+Pharmaceuticals+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=FUSN&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
77,RHC-0074-ACQUIRED-G1T,G1T,G1 Therapeutics,Pfizer,,2024,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=G1T+%22G1+Therapeutics%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=G1T&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
78,RHC-0075-ACQUIRED-GRCL,GRCL,Gracell Biotechnologies,AstraZeneca,,2024,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=GRCL+%22Gracell+Biotechnologies%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=GRCL&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
79,RHC-0135-ACQUIRED-HRMY,HRMY,Harmony Biosciences,EDGAR possible,,2023,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=HRMY+%22Harmony+Biosciences%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2023-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=HRMY&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
80,RHC-0105-ACQUIRED-HZNP,HZNP,Horizon Therapeutics plc,Amgen,,2023,LOW,MAYBE_NEEDS_REVIEW,TRUE,TRUE,https://efts.sec.gov/LATEST/search-index?q=HZNP+%22Horizon+Therapeutics+plc%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2023-12-31,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=HZNP&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,DATE_BACKFILL_REQUIRED: find merger 8-K on EDGAR before filing collection,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
