case_id,ticker,company_name,acquisition_announcement_date,search_window_start,search_window_end,searched_signal_types,strategic_alternatives_hit,banker_advisor_hit,activist_13d_hit,competing_bid_hit,rofr_rofn_hit,public_process_hit,hit_status,best_source_url,best_source_excerpt,confidence,next_action,notes
RHC-0104-ACQUIRED-ALBO,ALBO,Albireo Pharma,2023-01-09,2021-01-01,2023-01-09,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,,,,,,,NEEDS_MANUAL_REVIEW,,,LOW,Run EDGAR queries manually and record hit/no-hit evidence.,Batch package staging. Year=2023.
RHC-0101-ACQUIRED-CHMA,CHMA,Chiasma,2021-05-05,2019-01-01,2021-05-05,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,,,,,,,NEEDS_MANUAL_REVIEW,,,LOW,Run EDGAR queries manually and record hit/no-hit evidence.,Batch package staging. Year=2021.
RHC-0102-ACQUIRED-CNST,CNST,Constellation Pharmaceuticals,2021-06-02,2019-01-01,2021-06-02,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,,,,,,,NEEDS_MANUAL_REVIEW,,,LOW,Run EDGAR queries manually and record hit/no-hit evidence.,Batch package staging. Year=2021.
RHC-0073-ACQUIRED-FUSN,FUSN,Fusion Pharmaceuticals Inc.,2024-03-19,2022-01-01,2024-03-19,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,,,,,,,NEEDS_MANUAL_REVIEW,,,LOW,Run EDGAR queries manually and record hit/no-hit evidence.,Batch package staging. Year=2024.
RHC-0074-ACQUIRED-G1T,G1T,G1 Therapeutics,2024-08-07,2022-01-01,2024-08-07,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,,,,,,,NEEDS_MANUAL_REVIEW,,,LOW,Run EDGAR queries manually and record hit/no-hit evidence.,Batch package staging. Year=2024.
RHC-0105-ACQUIRED-HZNP,HZNP,Horizon Therapeutics plc,2022-12-12,2020-01-01,2022-12-12,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,,,,,,,NEEDS_MANUAL_REVIEW,,,LOW,Run EDGAR queries manually and record hit/no-hit evidence.,Batch package staging. Year=2023.
RHC-0138-ACQUIRED-KROS,KROS,Keros Therapeutics,2024-12-03,2022-01-01,2024-12-03,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,,,,,,,NEEDS_MANUAL_REVIEW,,,LOW,Run EDGAR queries manually and record hit/no-hit evidence.,Batch package staging. Year=2024.
RHC-0076-ACQUIRED-KRTX,KRTX,"Karuna Therapeutics, Inc.",2023-12-22,2021-01-01,2023-12-22,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,,,,,,,NEEDS_MANUAL_REVIEW,,,LOW,Run EDGAR queries manually and record hit/no-hit evidence.,Batch package staging. Year=2024.
RHC-0077-ACQUIRED-LBPH,LBPH,"Longboard Pharmaceuticals, Inc.",2024-10-15,2022-01-01,2024-10-15,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,,,,,,,NEEDS_MANUAL_REVIEW,,,LOW,Run EDGAR queries manually and record hit/no-hit evidence.,Batch package staging. Year=2024.
RHC-0078-ACQUIRED-MORF,MORF,"Morphic Holding, Inc.",2024-07-08,2022-01-01,2024-07-08,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,,,,,,,NEEDS_MANUAL_REVIEW,,,LOW,Run EDGAR queries manually and record hit/no-hit evidence.,Batch package staging. Year=2024.
RHC-0079-ACQUIRED-MRTX,MRTX,"Mirati Therapeutics, Inc.",2023-10-10,2021-01-01,2023-10-10,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,,,,,,,NEEDS_MANUAL_REVIEW,,,LOW,Run EDGAR queries manually and record hit/no-hit evidence.,Batch package staging. Year=2024.
RHC-0106-ACQUIRED-SGEN,SGEN,Seagen Inc.,2023-03-13,2021-01-01,2023-03-13,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,,,,,,,NEEDS_MANUAL_REVIEW,,,LOW,Run EDGAR queries manually and record hit/no-hit evidence.,Batch package staging. Year=2023.
RHC-0107-ACQUIRED-SNDX,SNDX,Syndax Pharmaceuticals,2023-12-15,2021-01-01,2023-12-15,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,,,,,,,NEEDS_MANUAL_REVIEW,,,LOW,Run EDGAR queries manually and record hit/no-hit evidence.,Batch package staging. Year=2023.
RHC-0103-ACQUIRED-STML,STML,Stemline Therapeutics,2020-05-04,2018-01-01,2020-05-04,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,,,,,,,NEEDS_MANUAL_REVIEW,,,LOW,Run EDGAR queries manually and record hit/no-hit evidence.,Batch package staging. Year=2021.
RHC-0132-ACQUIRED-TBIO,TBIO,Translate Bio,2021-08-03,2019-01-01,2021-08-03,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,,,,,,,NEEDS_MANUAL_REVIEW,,,LOW,Run EDGAR queries manually and record hit/no-hit evidence.,Batch package staging. Year=2021.
RHC-0140-ACQUIRED-VSTM,VSTM,Verastem Oncology,2024-01-08,2022-01-01,2024-01-08,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,,,,,,,NEEDS_MANUAL_REVIEW,,,LOW,Run EDGAR queries manually and record hit/no-hit evidence.,Batch package staging. Year=2024.
