case_id,ticker,company_name,announcement_date,filing_date,filing_type,accession_number,source_url,possible_signal_type,keyword_hits,excerpt_if_available,confidence,recommended_status
RHC-0104-ACQUIRED-ALBO,ALBO,Albireo Pharma,2023-01-09,,,,https://efts.sec.gov/LATEST/search-index?q=ALBO+%22Albireo+Pharma%22+%28%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22sale+process%22+OR+%22acquisition+proposal%22+OR+%22unsolicited+proposal%22+OR+%22competing+bid%22+OR+ROFR+OR+ROFN+OR+%22option+to+acquire%22+OR+activist+OR+%22Item+4%22%29&forms=10-K%2C10-Q%2C424B3%2C8-K%2CDEF+14A%2CDEFM14A%2CS-4%2CSC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2021-07-10&enddt=2023-01-09,,,EDGAR API disabled by --no-api. No target-form filings collected in the 18-month pre-announcement window.,LOW,NEEDS_MANUAL_REVIEW
RHC-0101-ACQUIRED-CHMA,CHMA,Chiasma,2021-05-05,,,,https://efts.sec.gov/LATEST/search-index?q=CHMA+%22Chiasma%22+%28%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22sale+process%22+OR+%22acquisition+proposal%22+OR+%22unsolicited+proposal%22+OR+%22competing+bid%22+OR+ROFR+OR+ROFN+OR+%22option+to+acquire%22+OR+activist+OR+%22Item+4%22%29&forms=10-K%2C10-Q%2C424B3%2C8-K%2CDEF+14A%2CDEFM14A%2CS-4%2CSC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2019-11-04&enddt=2021-05-05,,,EDGAR API disabled by --no-api. No target-form filings collected in the 18-month pre-announcement window.,LOW,NEEDS_MANUAL_REVIEW
RHC-0102-ACQUIRED-CNST,CNST,Constellation Pharmaceuticals,2021-06-02,,,,https://efts.sec.gov/LATEST/search-index?q=CNST+%22Constellation+Pharmaceuticals%22+%28%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22sale+process%22+OR+%22acquisition+proposal%22+OR+%22unsolicited+proposal%22+OR+%22competing+bid%22+OR+ROFR+OR+ROFN+OR+%22option+to+acquire%22+OR+activist+OR+%22Item+4%22%29&forms=10-K%2C10-Q%2C424B3%2C8-K%2CDEF+14A%2CDEFM14A%2CS-4%2CSC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2019-12-02&enddt=2021-06-02,,,EDGAR API disabled by --no-api. No target-form filings collected in the 18-month pre-announcement window.,LOW,NEEDS_MANUAL_REVIEW
RHC-0134-ACQUIRED-ENLV,ENLV,Enliven Therapeutics,,,,,,,,Announcement date missing; cannot lock pre-announcement cutoff.,LOW,DATE_OR_CIK_BLOCKED
RHC-0072-ACQUIRED-FATE,FATE,Fate Therapeutics,,,,,,,,Announcement date missing; cannot lock pre-announcement cutoff.,LOW,DATE_OR_CIK_BLOCKED
RHC-0073-ACQUIRED-FUSN,FUSN,Fusion Pharmaceuticals Inc.,2024-03-19,,,,https://efts.sec.gov/LATEST/search-index?q=FUSN+%22Fusion+Pharmaceuticals+Inc.%22+%28%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22sale+process%22+OR+%22acquisition+proposal%22+OR+%22unsolicited+proposal%22+OR+%22competing+bid%22+OR+ROFR+OR+ROFN+OR+%22option+to+acquire%22+OR+activist+OR+%22Item+4%22%29&forms=10-K%2C10-Q%2C424B3%2C8-K%2CDEF+14A%2CDEFM14A%2CS-4%2CSC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2022-09-18&enddt=2024-03-19,,,EDGAR API disabled by --no-api. No target-form filings collected in the 18-month pre-announcement window.,LOW,NEEDS_MANUAL_REVIEW
RHC-0074-ACQUIRED-G1T,G1T,G1 Therapeutics,2024-08-07,,,,https://efts.sec.gov/LATEST/search-index?q=G1T+%22G1+Therapeutics%22+%28%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22sale+process%22+OR+%22acquisition+proposal%22+OR+%22unsolicited+proposal%22+OR+%22competing+bid%22+OR+ROFR+OR+ROFN+OR+%22option+to+acquire%22+OR+activist+OR+%22Item+4%22%29&forms=10-K%2C10-Q%2C424B3%2C8-K%2CDEF+14A%2CDEFM14A%2CS-4%2CSC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2023-02-06&enddt=2024-08-07,,,EDGAR API disabled by --no-api. No target-form filings collected in the 18-month pre-announcement window.,LOW,NEEDS_MANUAL_REVIEW
RHC-0075-ACQUIRED-GRCL,GRCL,Gracell Biotechnologies,,,,,,,,Announcement date missing; cannot lock pre-announcement cutoff.,LOW,DATE_OR_CIK_BLOCKED
RHC-0135-ACQUIRED-HRMY,HRMY,Harmony Biosciences,,,,,,,,Announcement date missing; cannot lock pre-announcement cutoff.,LOW,DATE_OR_CIK_BLOCKED
RHC-0105-ACQUIRED-HZNP,HZNP,Horizon Therapeutics plc,2022-12-12,,,,https://efts.sec.gov/LATEST/search-index?q=HZNP+%22Horizon+Therapeutics+plc%22+%28%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22sale+process%22+OR+%22acquisition+proposal%22+OR+%22unsolicited+proposal%22+OR+%22competing+bid%22+OR+ROFR+OR+ROFN+OR+%22option+to+acquire%22+OR+activist+OR+%22Item+4%22%29&forms=10-K%2C10-Q%2C424B3%2C8-K%2CDEF+14A%2CDEFM14A%2CS-4%2CSC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2021-06-12&enddt=2022-12-12,,,EDGAR API disabled by --no-api. No target-form filings collected in the 18-month pre-announcement window.,LOW,NEEDS_MANUAL_REVIEW
