case_id,ticker,company_name,announcement_date,filing_date,filing_type,accession_number,source_url,possible_signal_type,keyword_hits,excerpt_if_available,confidence,recommended_status
RHC-0104-ACQUIRED-ALBO,ALBO,Albireo Pharma,2023-01-09,2021-07-21,8-K,0001104659-21-094043,https://www.sec.gov/Archives/edgar/data/1322505/000110465921094043/0001104659-21-094043-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0104-ACQUIRED-ALBO,ALBO,Albireo Pharma,2023-01-09,2021-08-05,10-Q,0001558370-21-010431,https://www.sec.gov/Archives/edgar/data/1322505/000155837021010431/0001558370-21-010431-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0104-ACQUIRED-ALBO,ALBO,Albireo Pharma,2023-01-09,2021-08-05,8-K,0001104659-21-100457,https://www.sec.gov/Archives/edgar/data/1322505/000110465921100457/0001104659-21-100457-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0104-ACQUIRED-ALBO,ALBO,Albireo Pharma,2023-01-09,2021-09-07,8-K,0001104659-21-113212,https://www.sec.gov/Archives/edgar/data/1322505/000110465921113212/0001104659-21-113212-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0104-ACQUIRED-ALBO,ALBO,Albireo Pharma,2023-01-09,2021-11-04,10-Q,0001558370-21-014469,https://www.sec.gov/Archives/edgar/data/1322505/000155837021014469/0001558370-21-014469-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0104-ACQUIRED-ALBO,ALBO,Albireo Pharma,2023-01-09,2021-11-04,8-K,0001104659-21-134069,https://www.sec.gov/Archives/edgar/data/1322505/000110465921134069/0001104659-21-134069-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0104-ACQUIRED-ALBO,ALBO,Albireo Pharma,2023-01-09,2021-12-09,8-K,0001104659-21-147935,https://www.sec.gov/Archives/edgar/data/1322505/000110465921147935/0001104659-21-147935-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0104-ACQUIRED-ALBO,ALBO,Albireo Pharma,2023-01-09,2022-01-05,8-K,0001104659-22-001291,https://www.sec.gov/Archives/edgar/data/1322505/000110465922001291/0001104659-22-001291-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0104-ACQUIRED-ALBO,ALBO,Albireo Pharma,2023-01-09,2022-03-01,10-K,0001558370-22-002501,https://www.sec.gov/Archives/edgar/data/1322505/000155837022002501/0001558370-22-002501-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0104-ACQUIRED-ALBO,ALBO,Albireo Pharma,2023-01-09,2022-03-01,8-K,0001104659-22-028359,https://www.sec.gov/Archives/edgar/data/1322505/000110465922028359/0001104659-22-028359-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
