case_id,ticker,company_name,announcement_date,filing_date,filing_type,accession_number,source_url,possible_signal_type,keyword_hits,excerpt_if_available,confidence,recommended_status
RHC-0104-ACQUIRED-ALBO,ALBO,Albireo Pharma,2023-01-09,2022-08-25,424B3,0001104659-22-094468,https://www.sec.gov/Archives/edgar/data/1322505/000110465922094468/0001104659-22-094468-index.htm,acquisition_proposal|unsolicited_proposal,acquisition proposal|unsolicited acquisition proposal,certain types of transactions that may involve an actual or threatened change of our control. These provisions are designed to reduce our vulnerability to an unsolicited acquisition proposal and to discourage certain tactics that may be used in proxy fights. Such provisions also may have the effect of preventing changes in our management. Delaware Statutory Business Combinations Provision We are subject to,LOW,POSSIBLE_HIT
RHC-0101-ACQUIRED-CHMA,CHMA,Chiasma,2021-05-05,2020-04-28,DEF 14A,0001193125-20-123025,https://www.sec.gov/Archives/edgar/data/1339469/000119312520123025/0001193125-20-123025-index.htm,retained_advisor,financial advisor,"o sit on our Board of Directors include his extensive experience in the life sciences sector, his financial expertise and his years of experience providing strategic and financial advisory services to biopharmaceutical organizations. John A. Scarlett, M.D. joined our Board of Directors in February 2015. Dr. Scarlett has been Chief Executive Officer and director of Geron Corporation (NASDAQ: GERN), a biot",LOW,POSSIBLE_HIT
RHC-0101-ACQUIRED-CHMA,CHMA,Chiasma,2021-05-05,2021-04-26,DEF 14A,0001193125-21-131446,https://www.sec.gov/Archives/edgar/data/1339469/000119312521131446/0001193125-21-131446-index.htm,retained_advisor,financial advisor,"o sit on our Board of Directors include his extensive experience in the life sciences sector, his financial expertise and his years of experience providing strategic and financial advisory services to biopharmaceutical organizations. Mr. Stack has confirmed to our Board of Directors that he is fully committed to continuing to dedicate the required amount of time to fulfill his duties as a director of Chi",LOW,POSSIBLE_HIT
RHC-0074-ACQUIRED-G1T,G1T,G1 Therapeutics,2024-08-07,2023-05-03,10-Q,0001628280-23-015220,https://www.sec.gov/Archives/edgar/data/1560241/000162828023015220/0001628280-23-015220-index.htm,rofr_rofn|sale_process,right of first negotiation|sale of the company,"lestone payment totaling $ 2.0 million and royalty payments in the mid-single digits based on net sales of the licensed compound after commercialization. The Company has right of first negotiation to re-acquire these assets. In the first quarter of 2022, Incyclix announced a new round of financing which the Company did not participate. Following the financing, the Company's equity interest is now approximately 6.",LOW,POSSIBLE_HIT
RHC-0074-ACQUIRED-G1T,G1T,G1 Therapeutics,2024-08-07,2023-08-02,10-Q,0001628280-23-026769,https://www.sec.gov/Archives/edgar/data/1560241/000162828023026769/0001628280-23-026769-index.htm,rofr_rofn|sale_process,right of first negotiation|sale of the company,"lestone payment totaling $ 2.0 million and royalty payments in the mid-single digits based on net sales of the licensed compound after commercialization. The Company has right of first negotiation to re-acquire these assets. In the first quarter of 2022, Incyclix announced a new round of financing which the Company did not participate. Following the financing, the Company's equity interest is now approximately 6.",LOW,POSSIBLE_HIT
RHC-0074-ACQUIRED-G1T,G1T,G1 Therapeutics,2024-08-07,2023-11-01,10-Q,0001628280-23-035947,https://www.sec.gov/Archives/edgar/data/1560241/000162828023035947/0001628280-23-035947-index.htm,rofr_rofn|sale_process,right of first negotiation|sale of the company,"lestone payment totaling $ 2.0 million and royalty payments in the mid-single digits based on net sales of the licensed compound after commercialization. The Company has right of first negotiation to re-acquire these assets. In the first quarter of 2022, Incyclix announced a new round of financing which the Company did not participate. Following the financing, the Company's equity interest is now approximately 6.",LOW,POSSIBLE_HIT
RHC-0074-ACQUIRED-G1T,G1T,G1 Therapeutics,2024-08-07,2024-05-01,10-Q,0001628280-24-019622,https://www.sec.gov/Archives/edgar/data/1560241/000162828024019622/0001628280-24-019622-index.htm,rofr_rofn|sale_process,right of first negotiation|sale of the company,"lestone payment totaling $ 2.0 million and royalty payments in the mid-single digits based on net sales of the licensed compound after commercialization. The Company has right of first negotiation to re-acquire these assets. In the first quarter of 2022, Incyclix announced a new round of financing which the Company did not participate. Following the financing, the Company's equity interest is now approximately 6.",LOW,POSSIBLE_HIT
RHC-0105-ACQUIRED-HZNP,HZNP,Horizon Therapeutics plc,2022-12-12,2022-05-02,8-K,0001193125-22-134596,https://www.sec.gov/Archives/edgar/data/1492426/000119312522134596/0001193125-22-134596-index.htm,sale_process,sale of the company,", a person is treated as a Consultant under this Plan only if a Form S-8 Registration Statement under the Securities Act is available to register either the offer or the sale of the Company’s securities to such person. (r) “ Continuous Service ” means that the Participant’s service with the Company or an Affiliate, whether as an Employee, Director or Consultant, is not interrupted or terminated. A change i",LOW,POSSIBLE_HIT
RHC-0105-ACQUIRED-HZNP,HZNP,Horizon Therapeutics plc,2022-12-12,2022-11-02,10-Q,0000950170-22-020973,https://www.sec.gov/Archives/edgar/data/1492426/000095017022020973/0000950170-22-020973-index.htm,option_to_acquire,option to acquire,"al antibody antagonist of the interleukin-7 receptor for the treatment of autoimmune and inflammatory diseases. Under the terms of the agreement, the Company received an option to acquire the ADX-914 program, exercisable through a period of time following completion of certain planned Phase 2a trials. An upfront payment of $ 15.0 million was paid in the third quarter of 2022 and recorded as acquired IPR&",LOW,POSSIBLE_HIT
RHC-0105-ACQUIRED-HZNP,HZNP,Horizon Therapeutics plc,2022-12-12,2022-11-02,8-K,0001193125-22-275395,https://www.sec.gov/Archives/edgar/data/1492426/000119312522275395/0001193125-22-275395-index.htm,option_to_acquire,option to acquire,"ion with Q32 Bio), a fully human anti-IL-7Rα antibody that re-regulates adaptive immune function by blocking signaling mediated by both IL-7 and TSLP. The Company has an option to acquire ADX-914 on pre-negotiated terms with Q32 Bio. • Atopic Dermatitis Trial: Phase 2 trial initiated in October 2022 to evaluate ADX-914 in atopic dermatitis, a chronic, autoimmune disorder that causes inflammation, redness",LOW,POSSIBLE_HIT
