evidence_id,case_id,ticker,evidence_type,source_name,source_url,filing_type,filing_date,accession_number,exhibit_number,excerpt,supports_field,confidence,verification_status,added_by,added_date,notes
RHC-0072-ACQUIRED-FATE-ADJ-DRAFT-001,RHC-0072-ACQUIRED-FATE,FATE,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-16,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
RHC-0073-ACQUIRED-FUSN-ADJ-DRAFT-001,RHC-0073-ACQUIRED-FUSN,FUSN,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-16,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
RHC-0074-ACQUIRED-G1T-ADJ-DRAFT-001,RHC-0074-ACQUIRED-G1T,G1T,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-16,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
RHC-0075-ACQUIRED-GRCL-ADJ-DRAFT-001,RHC-0075-ACQUIRED-GRCL,GRCL,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-16,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
RHC-0076-ACQUIRED-KRTX-ADJ-DRAFT-001,RHC-0076-ACQUIRED-KRTX,KRTX,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-16,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
RHC-0077-ACQUIRED-LBPH-ADJ-DRAFT-001,RHC-0077-ACQUIRED-LBPH,LBPH,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-16,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
RHC-0078-ACQUIRED-MORF-ADJ-DRAFT-001,RHC-0078-ACQUIRED-MORF,MORF,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-16,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
RHC-0079-ACQUIRED-MRTX-ADJ-DRAFT-001,RHC-0079-ACQUIRED-MRTX,MRTX,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-16,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
RHC-0101-ACQUIRED-CHMA-ADJ-DRAFT-001,RHC-0101-ACQUIRED-CHMA,CHMA,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-16,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
RHC-0102-ACQUIRED-CNST-ADJ-DRAFT-001,RHC-0102-ACQUIRED-CNST,CNST,ADJUDICATION_NOTE,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,PLACEHOLDER_PENDING_REVIEW,,PLACEHOLDER_PENDING_REVIEW,had_prior_process_signal,LOW,DRAFT_PENDING_REVIEW,source_evidence_autofill,2026-05-16,[DRAFT] Review before adding to source_evidence.csv. Priority tier: BLOCKED. Reason: No HIGH/MEDIUM announcement date — run merger_date_prefiller first. Fill all PLACEHOLDER fields from the actual filing before promoting.
