candidate_id,ticker,company_name,likely_outcome_type,likely_outcome_year,outcome_source_hint,outcome_edgar_query,prior_process_signal_query,prior_13d_query,prior_rofr_exhibit_query,proxy_or_s4_query,verification_status,priority,reason_for_inclusion,notes
RHC-0104-ACQUIRED-ALBO,ALBO,Albireo Pharma,ACQUIRED,2023,https://efts.sec.gov/LATEST/search-index?q=ALBO+%22Albireo+Pharma%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2023-12-31,,,,,,CANDIDATE,HIGH,Batch selector candidate,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0101-ACQUIRED-CHMA,CHMA,Chiasma,ACQUIRED,2021,https://efts.sec.gov/LATEST/search-index?q=CHMA+%22Chiasma%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2021-01-01&enddt=2021-12-31,,,,,,CANDIDATE,HIGH,Batch selector candidate,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0102-ACQUIRED-CNST,CNST,Constellation Pharmaceuticals,ACQUIRED,2021,https://efts.sec.gov/LATEST/search-index?q=CNST+%22Constellation+Pharmaceuticals%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2021-01-01&enddt=2021-12-31,,,,,,CANDIDATE,HIGH,Batch selector candidate,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0134-ACQUIRED-ENLV,ENLV,Enliven Therapeutics,ACQUIRED,2023,https://efts.sec.gov/LATEST/search-index?q=ENLV+%22Enliven+Therapeutics%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2023-12-31,,,,,,CANDIDATE,HIGH,Batch selector candidate,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0072-ACQUIRED-FATE,FATE,Fate Therapeutics,ACQUIRED,2024,https://efts.sec.gov/LATEST/search-index?q=FATE+%22Fate+Therapeutics%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,,,,,,CANDIDATE,HIGH,Batch selector candidate,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0073-ACQUIRED-FUSN,FUSN,Fusion Pharmaceuticals Inc.,ACQUIRED,2024,https://efts.sec.gov/LATEST/search-index?q=FUSN+%22Fusion+Pharmaceuticals+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,,,,,,CANDIDATE,HIGH,Batch selector candidate,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0074-ACQUIRED-G1T,G1T,G1 Therapeutics,ACQUIRED,2024,https://efts.sec.gov/LATEST/search-index?q=G1T+%22G1+Therapeutics%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,,,,,,CANDIDATE,HIGH,Batch selector candidate,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0075-ACQUIRED-GRCL,GRCL,Gracell Biotechnologies,ACQUIRED,2024,https://efts.sec.gov/LATEST/search-index?q=GRCL+%22Gracell+Biotechnologies%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,,,,,,CANDIDATE,HIGH,Batch selector candidate,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0135-ACQUIRED-HRMY,HRMY,Harmony Biosciences,ACQUIRED,2023,https://efts.sec.gov/LATEST/search-index?q=HRMY+%22Harmony+Biosciences%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2023-12-31,,,,,,CANDIDATE,HIGH,Batch selector candidate,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0105-ACQUIRED-HZNP,HZNP,Horizon Therapeutics plc,ACQUIRED,2023,https://efts.sec.gov/LATEST/search-index?q=HZNP+%22Horizon+Therapeutics+plc%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2023-12-31,,,,,,CANDIDATE,HIGH,Batch selector candidate,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0137-ACQUIRED-KPTI,KPTI,Karyopharm Therapeutics,ACQUIRED,2024,https://efts.sec.gov/LATEST/search-index?q=KPTI+%22Karyopharm+Therapeutics%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,,,,,,CANDIDATE,HIGH,Batch selector candidate,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0138-ACQUIRED-KROS,KROS,Keros Therapeutics,ACQUIRED,2024,https://efts.sec.gov/LATEST/search-index?q=KROS+%22Keros+Therapeutics%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,,,,,,CANDIDATE,HIGH,Batch selector candidate,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0076-ACQUIRED-KRTX,KRTX,"Karuna Therapeutics, Inc.",ACQUIRED,2024,https://efts.sec.gov/LATEST/search-index?q=KRTX+%22Karuna+Therapeutics%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,,,,,,CANDIDATE,HIGH,Batch selector candidate,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0077-ACQUIRED-LBPH,LBPH,"Longboard Pharmaceuticals, Inc.",ACQUIRED,2024,https://efts.sec.gov/LATEST/search-index?q=LBPH+%22Longboard+Pharmaceuticals%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2024-01-01&enddt=2024-12-31,,,,,,CANDIDATE,HIGH,Batch selector candidate,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
RHC-0131-ACQUIRED-LMNX,LMNX,Luminex Corporation,ACQUIRED,2021,https://efts.sec.gov/LATEST/search-index?q=LMNX+%22Luminex+Corporation%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2021-01-01&enddt=2021-12-31,,,,,,CANDIDATE,HIGH,Batch selector candidate,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
