candidate_id,ticker,company,acquirer,announcement_date,announcement_year,source_url,source_type,filing_type,accession_number,deal_type_guess,inclusion_status,inclusion_reason,exclusion_reason,confidence,existing_case_id_if_any,already_in_first_50,already_in_batch_51_70,needs_date_backfill,needs_standard_deal_confirmation,fmp_profile_status,notes
RHC-0035-ACQUIRED-ADMS,ADMS,Adamas Pharmaceuticals,Supernus,2021-10-11,2021,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADMS&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0035-ACQUIRED-ADMS,TRUE,FALSE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of first 50-case study.
RHC-0037-ACQUIRED-DRNA,DRNA,"Dicerna Pharmaceuticals, Inc.",Novo Nordisk,2021-11-17,2021,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DRNA&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0037-ACQUIRED-DRNA,TRUE,FALSE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of first 50-case study.
RHC-0038-ACQUIRED-FLXN,FLXN,Flexion Therapeutics,Pacira BioSciences,2021-10-11,2021,https://www.sec.gov/Archives/edgar/data/1419600/000110465921124870/tm2129667d2_8k.htm,SEC archive evidence,,,UNKNOWN,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0038-ACQUIRED-FLXN,TRUE,FALSE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 4. Already part of first 50-case study.
RHC-0039-ACQUIRED-FPRX,FPRX,"Five Prime Therapeutics, Inc.",Amgen,2021-03-04,2021,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FPRX&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,TENDER_OFFER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0039-ACQUIRED-FPRX,TRUE,FALSE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of first 50-case study.
RHC-0040-ACQUIRED-GWPH,GWPH,GW Pharmaceuticals plc,Jazz,2021-02-03,2021,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GWPH&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0040-ACQUIRED-GWPH,TRUE,FALSE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of first 50-case study.
RHC-0041-ACQUIRED-PAND,PAND,Pandion Therapeutics,Merck,2021-02-24,2021,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PAND&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0041-ACQUIRED-PAND,TRUE,FALSE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of first 50-case study.
RHC-0043-ACQUIRED-TRIL,TRIL,Trillium Therapeutics Inc.,Pfizer,2021-08-23,2021,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TRIL&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,MERGER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0043-ACQUIRED-TRIL,TRUE,FALSE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of first 50-case study.
RHC-0044-ACQUIRED-VIE,VIE,"Viela Bio, Inc.",Horizon,2021-01-31,2021,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VIE&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,TENDER_OFFER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0044-ACQUIRED-VIE,TRUE,FALSE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of first 50-case study.
RHC-0045-ACQUIRED-XLRN,XLRN,Acceleron Pharma Inc.,Merck,2021-09-29,2021,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XLRN&type=8-K&dateb=&owner=include&count=40,merger 8-K EDGAR verified,,,TENDER_OFFER,INCLUDE_STANDARD_PUBLIC_COMPANY_ACQUISITION,Local candidate has standard acquisition/merger language plus existing date/source coverage.,,HIGH,RHC-0045-ACQUIRED-XLRN,TRUE,FALSE,FALSE,FALSE,NOT_CHECKED_OFFLINE_BUILDER,Date table coverage: HIGH. Source evidence rows: 1. Already part of first 50-case study.
RHC-0101-ACQUIRED-CHMA,CHMA,Chiasma,Strongbridge,,2021,https://efts.sec.gov/LATEST/search-index?q=CHMA+%22Chiasma%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2021-01-01&enddt=2021-12-31,LOCAL_CANDIDATE_QUERY,,,UNKNOWN,MAYBE_NEEDS_REVIEW,Local candidate has standard acquisition/merger language but needs announcement-date/source confirmation.,,LOW,RHC-0101-ACQUIRED-CHMA,FALSE,FALSE,TRUE,TRUE,NOT_CHECKED_OFFLINE_BUILDER,No HIGH/MEDIUM date table coverage. No source_evidence rows found.
