case_id,ticker,company_name,announcement_date,filing_date,filing_type,accession_number,source_url,possible_signal_type,keyword_hits,excerpt_if_available,confidence,recommended_status
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2015-02-25,10-K,0001193125-15-062576,https://www.sec.gov/Archives/edgar/data/1011835/000119312515062576/0001193125-15-062576-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2015-02-25,8-K,0001193125-15-062571,https://www.sec.gov/Archives/edgar/data/1011835/000119312515062571/0001193125-15-062571-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2015-04-30,DEF 14A,0001193125-15-161738,https://www.sec.gov/Archives/edgar/data/1011835/000119312515161738/0001193125-15-161738-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2015-05-07,10-Q,0001193125-15-177122,https://www.sec.gov/Archives/edgar/data/1011835/000119312515177122/0001193125-15-177122-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2015-05-07,8-K,0001193125-15-177112,https://www.sec.gov/Archives/edgar/data/1011835/000119312515177112/0001193125-15-177112-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2015-05-28,8-K,0001193125-15-204101,https://www.sec.gov/Archives/edgar/data/1011835/000119312515204101/0001193125-15-204101-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2015-06-19,8-K,0001193125-15-227935,https://www.sec.gov/Archives/edgar/data/1011835/000119312515227935/0001193125-15-227935-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2015-06-19,8-K,0001193125-15-228887,https://www.sec.gov/Archives/edgar/data/1011835/000119312515228887/0001193125-15-228887-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2015-07-31,8-K,0001193125-15-271776,https://www.sec.gov/Archives/edgar/data/1011835/000119312515271776/0001193125-15-271776-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2015-08-06,10-Q,0001193125-15-281068,https://www.sec.gov/Archives/edgar/data/1011835/000119312515281068/0001193125-15-281068-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
