case_id,ticker,company_name,announcement_date,filing_date,filing_type,accession_number,source_url,possible_signal_type,keyword_hits,excerpt_if_available,confidence,recommended_status
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2016-04-28,8-K,0001193125-16-563708,https://www.sec.gov/Archives/edgar/data/1011835/000119312516563708/0001193125-16-563708-index.htm,acquisition_proposal,proposal from|proposal to acquire,"in by reference. Item 9.01 Financial Statements and Exhibits. (d) Exhibits. 99.1 Press release dated April 28, 2016, entitled “Medivation Confirms Receipt of Unsolicited Proposal From Sanofi”. -1- SIGNATURE Pursuant to the requirements of the Securities Exchange Act of 1934, the Registrant has duly caused this report to be signed on its behalf by the undersigned hereunto duly authorized. MEDIVATION,",LOW,POSSIBLE_HIT
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2016-04-29,8-K,0001193125-16-569536,https://www.sec.gov/Archives/edgar/data/1011835/000119312516569536/0001193125-16-569536-index.htm,acquisition_proposal|unsolicited_proposal,proposal from|unsolicited proposal,"ents. On April 29, 2016, Medivation, Inc. (the “Company”) issued a press release to confirm that the Company’s Board of Directors had unanimously rejected an unsolicited proposal from Sanofi to acquire all of the outstanding shares of the Company. A copy of the press release is attached hereto as Exhibit 99.1. On April 29, 2016, the Company sent a letter to its employees addressing the unsolicited pr",LOW,POSSIBLE_HIT
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2016-05-05,10-Q,0001564590-16-018012,https://www.sec.gov/Archives/edgar/data/1011835/000156459016018012/0001564590-16-018012-index.htm,acquisition_proposal|unsolicited_proposal,proposal from|unsolicited proposal,"may be sig nificant, and the Company may not prevail. NOTE 14. SUBSEQUENT EVENT On April 28, 2016, the Company confirmed that it had received an unsolicited, non-binding proposal from Sanofi to acquire all outstanding shares of Medivation common stock for $52.50 in cash, which followed a private letter received by the Company from Sanofi on April 15, 2016. On April 29, 2016, the Company announced tha",LOW,POSSIBLE_HIT
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2016-05-05,8-K,0001193125-16-579914,https://www.sec.gov/Archives/edgar/data/1011835/000119312516579914/0001193125-16-579914-index.htm,acquisition_proposal,proposal to acquire,"e is filed pursuant to Item 2.02 as Exhibit 99.1 hereto. Item 8.01 Other Events. On May 5, 2016, the Company issued a press release reiterating its rejection of Sanofi’s proposal to acquire all of the Company’s outstanding stock. A copy of the Company’s press release is attached hereto as Exhibit 99.2. Item 9.01 Financial Statements and Exhibits. Exhibit No. Description 99.1 Press release announcing Mediva",LOW,POSSIBLE_HIT
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2016-05-06,8-K,0001193125-16-580827,https://www.sec.gov/Archives/edgar/data/1011835/000119312516580827/0001193125-16-580827-index.htm,acquisition_proposal|unsolicited_proposal,proposal to acquire|unsolicited proposal,"s landmark quarter and the important opportunities that we have in our pipeline. As you know, last week, our Board of Directors unanimously rejected Sanofi’s unsolicited proposal to acquire our Company for $52.50 per share in cash. Medivation has significant value as one of the few profitable commercial-stage oncology companies. We have a leading oncology franchise with a blockbuster asset as well as an ex",LOW,POSSIBLE_HIT
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2016-05-25,8-K,0001193125-16-602270,https://www.sec.gov/Archives/edgar/data/1011835/000119312516602270/0001193125-16-602270-index.htm,acquisition_proposal,proposal to acquire,"nominees through a proposed consent solicitation, which Medivation believes is a tactic for Sanofi to facilitate its substantially inadequate and opportunistically-timed proposal to acquire Medivation. Medivation expects to promptly file consent revocation materials with the U.S. Securities and Exchange Commission. On April 29, 2016, the Medivation Board unanimously rejected Sanofi’s unsolicited, non-bindi",LOW,POSSIBLE_HIT
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2016-05-27,8-K,0001193125-16-606426,https://www.sec.gov/Archives/edgar/data/1011835/000119312516606426/0001193125-16-606426-index.htm,strategic_alternatives,strategic alternatives,"best suited to assure delivery to the Company’s stockholders of the value which has been and is being created, including the responsible and knowledgeable review of any strategic alternatives. David Hung, M.D., Founder, President and Chief Executive Officer of Medivation, said, “All of our stockholders deserve to be represented by directors with deep relevant experience and a common commitment to delivering",LOW,POSSIBLE_HIT
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2016-06-13,8-K,0001193125-16-620311,https://www.sec.gov/Archives/edgar/data/1011835/000119312516620311/0001193125-16-620311-index.htm,acquisition_proposal,proposal to acquire,"pprove the replacement of our entire current Board of Directors with Sanofi’s hand-picked nominees. Sanofi launched this process after our Board determined that Sanofi’s proposal to acquire Medivation at an all cash price of $52.50 was substantially inadequate. This consent solicitation is essentially Sanofi’s attempt to end run our Board and steal this company from our stockholders. Earlier today, Medivat",LOW,POSSIBLE_HIT
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2016-07-05,8-K,0001193125-16-641659,https://www.sec.gov/Archives/edgar/data/1011835/000119312516641659/0001193125-16-641659-index.htm,acquisition_proposal|unsolicited_proposal,proposal to acquire|unsolicited proposal,"vation received from Sanofi, and Medivation’s Board of Directors unanimously rejected as not in the best interests of the company and its stockholders, a new unsolicited proposal to acquire Medivation. The proposal, which was conditional upon the execution of a confidentiality agreement and the receipt of information, was for $58.00 per share in cash plus a Contingent Value Right for talazoparib sales repr",LOW,POSSIBLE_HIT
RHC-0005-ACQUIRED-CPXX,CPXX,"Celator Pharmaceuticals, Inc.",2016-05-31,2016-03-23,8-K,0001144204-16-089876,https://www.sec.gov/Archives/edgar/data/1327467/000114420416089876/0001144204-16-089876-index.htm,rofr_rofn,right of first refusal,"paid and non-assessable, have been issued in material compliance with all applicable securities laws, were not issued in violation of any preemptive right, resale right, right of first refusal or similar right and are owned by the Company subject to no security interest, other encumbrance or adverse claims. No options, warrants or other rights to purchase, agreements or other obligations to issue or other rig",LOW,POSSIBLE_HIT
