case_id,ticker,company_name,acquisition_announcement_date,search_window_start,search_window_end,searched_signal_types,strategic_alternatives_hit,banker_advisor_hit,activist_13d_hit,competing_bid_hit,rofr_rofn_hit,public_process_hit,hit_status,best_source_url,best_source_excerpt,confidence,next_action,notes
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",2016-08-22,2015-01-01,2016-08-22,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,CONFIRMED_HIT,https://www.sec.gov/Archives/edgar/data/1011835/000119312516641659/0001193125-16-641659-index.htm,"rminate its consent solicitation. Before entering into the confidentiality agreement with Sanofi, Medivation received from Sanofi, and Medivation’s Board of Directors unanimously rejected as not in the best interests of the company and its stockholders, a new unsolicited proposal to acquire Medivation. The proposal, which was conditional upon the execution of a confidentiality agreement and the receipt of...",HIGH,Use as adjudicated true prior public signal candidate; do not mark VERIFIED until independent review.,"Manual/EDGAR queries: strategic_alternatives: https://efts.sec.gov/LATEST/search-index?q=MDVN+%22Medivation%2C+Inc.%22+%22strategic+alternatives%22+OR+%22review+of+strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2016-08-22 || banker_advisor: https://efts.sec.gov/LATEST/search-index?q=MDVN+%22Medivation%2C+Inc.%22+%22financial+advisor%22+OR+%22retained%22+OR+%22engaged%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2016-08-22 || activist_13d: https://efts.sec.gov/LATEST/search-index?q=MDVN+%22Medivation%2C+Inc.%22+%22Item+4%22+OR+%22maximize+shareholder+value%22+OR+%22sale+of+the+company%22+OR+%22strategic+alternatives%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2016-08-22 || competing_bid: https://efts.sec.gov/LATEST/search-index?q=MDVN+%22Medivation%2C+Inc.%22+%22publicly+announced%22+%22proposal%22+OR+%22unsolicited+proposal%22+OR+%22competing+bid%22&forms=8-K%2CSC+13D%2CSC+13D%2FA%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2015-01-01&enddt=2016-08-22 || rofr_rofn: https://efts.sec.gov/LATEST/search-index?q=MDVN+%22Medivation%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22right+of+first+offer%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2016-08-22 || public_process: https://efts.sec.gov/LATEST/search-index?q=MDVN+%22Medivation%2C+Inc.%22+%22announced%22+%22strategic+review%22+OR+%22publicly+disclosed%22+%22strategic+alternatives%22+OR+%22prior+failed+process%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2016-08-22 Local source_evidence rows: 3 EDGAR not attempted because local source-backed public hit already exists. On April 28, 2016, Sanofi issued a press release publicly announcing Sanofi’s $52.50 proposal. Adjudicator classified source filings as TRUE_PUBLIC_PRIOR_SIGNAL (public_competing_bid_or_process|public_competing_bid_or_proposal|public_competing_bid_or_proposal|public_competing_bid_or_process|public_competing_bid_or_proposal|public_competing_bid_or_process|strategic_alternatives|public_competing_bid_or_proposal|public_competing_bid_or_process)."
RHC-0005-ACQUIRED-CPXX,CPXX,"Celator Pharmaceuticals, Inc.",2016-05-31,2015-01-01,2016-05-31,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CONFIRMED_NO_HIT,,,MEDIUM,Use as likely deal-announcement baseline unless later manual review finds separate public pre-deal process evidence.,"Manual/EDGAR queries: strategic_alternatives: https://efts.sec.gov/LATEST/search-index?q=CPXX+%22Celator+Pharmaceuticals%2C+Inc.%22+%22strategic+alternatives%22+OR+%22review+of+strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2016-05-31 || banker_advisor: https://efts.sec.gov/LATEST/search-index?q=CPXX+%22Celator+Pharmaceuticals%2C+Inc.%22+%22financial+advisor%22+OR+%22retained%22+OR+%22engaged%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2016-05-31 || activist_13d: https://efts.sec.gov/LATEST/search-index?q=CPXX+%22Celator+Pharmaceuticals%2C+Inc.%22+%22Item+4%22+OR+%22maximize+shareholder+value%22+OR+%22sale+of+the+company%22+OR+%22strategic+alternatives%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2016-05-31 || competing_bid: https://efts.sec.gov/LATEST/search-index?q=CPXX+%22Celator+Pharmaceuticals%2C+Inc.%22+%22publicly+announced%22+%22proposal%22+OR+%22unsolicited+proposal%22+OR+%22competing+bid%22&forms=8-K%2CSC+13D%2CSC+13D%2FA%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2015-01-01&enddt=2016-05-31 || rofr_rofn: https://efts.sec.gov/LATEST/search-index?q=CPXX+%22Celator+Pharmaceuticals%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22right+of+first+offer%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2016-05-31 || public_process: https://efts.sec.gov/LATEST/search-index?q=CPXX+%22Celator+Pharmaceuticals%2C+Inc.%22+%22announced%22+%22strategic+review%22+OR+%22publicly+disclosed%22+%22strategic+alternatives%22+OR+%22prior+failed+process%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2016-05-31 EDGAR unavailable; generated manual review queries instead. No local source-backed prior public signal found yet. Search target generated only. Acquisition announcement date backfilled from acquisition_announcement_dates.csv (MEDIUM confidence). Adjudicator reviewed collector hits and classified them as RIGHTS_LANGUAGE_ONLY, not true whole-company prior public signals."
RHC-0007-ACQUIRED-RLYP,RLYP,"Relypsa, Inc.",2016-07-21,2015-01-01,2016-07-21,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NEEDS_MANUAL_REVIEW,,,LOW,Run the generated SEC queries manually and record hit/no-hit evidence with source URL and excerpt.,Manual/EDGAR queries: strategic_alternatives: https://efts.sec.gov/LATEST/search-index?q=RLYP+%22Relypsa%2C+Inc.%22+%22strategic+alternatives%22+OR+%22review+of+strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2016-07-21 || banker_advisor: https://efts.sec.gov/LATEST/search-index?q=RLYP+%22Relypsa%2C+Inc.%22+%22financial+advisor%22+OR+%22retained%22+OR+%22engaged%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2016-07-21 || activist_13d: https://efts.sec.gov/LATEST/search-index?q=RLYP+%22Relypsa%2C+Inc.%22+%22Item+4%22+OR+%22maximize+shareholder+value%22+OR+%22sale+of+the+company%22+OR+%22strategic+alternatives%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2016-07-21 || competing_bid: https://efts.sec.gov/LATEST/search-index?q=RLYP+%22Relypsa%2C+Inc.%22+%22publicly+announced%22+%22proposal%22+OR+%22unsolicited+proposal%22+OR+%22competing+bid%22&forms=8-K%2CSC+13D%2CSC+13D%2FA%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2015-01-01&enddt=2016-07-21 || rofr_rofn: https://efts.sec.gov/LATEST/search-index?q=RLYP+%22Relypsa%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22right+of+first+offer%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2016-07-21 || public_process: https://efts.sec.gov/LATEST/search-index?q=RLYP+%22Relypsa%2C+Inc.%22+%22announced%22+%22strategic+review%22+OR+%22publicly+disclosed%22+%22strategic+alternatives%22+OR+%22prior+failed+process%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2016-07-21 EDGAR unavailable; generated manual review queries instead. No local source-backed prior public signal found yet. Search target generated only. Acquisition announcement date backfilled from acquisition_announcement_dates.csv (HIGH confidence).
RHC-0009-ACQUIRED-VTAE,VTAE,"Vitae Pharmaceuticals, Inc.",2016-09-14,2015-01-01,2016-09-14,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NEEDS_MANUAL_REVIEW,,,LOW,Run the generated SEC queries manually and record hit/no-hit evidence with source URL and excerpt.,Manual/EDGAR queries: strategic_alternatives: https://efts.sec.gov/LATEST/search-index?q=VTAE+%22Vitae+Pharmaceuticals%2C+Inc.%22+%22strategic+alternatives%22+OR+%22review+of+strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2016-09-14 || banker_advisor: https://efts.sec.gov/LATEST/search-index?q=VTAE+%22Vitae+Pharmaceuticals%2C+Inc.%22+%22financial+advisor%22+OR+%22retained%22+OR+%22engaged%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2016-09-14 || activist_13d: https://efts.sec.gov/LATEST/search-index?q=VTAE+%22Vitae+Pharmaceuticals%2C+Inc.%22+%22Item+4%22+OR+%22maximize+shareholder+value%22+OR+%22sale+of+the+company%22+OR+%22strategic+alternatives%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2016-09-14 || competing_bid: https://efts.sec.gov/LATEST/search-index?q=VTAE+%22Vitae+Pharmaceuticals%2C+Inc.%22+%22publicly+announced%22+%22proposal%22+OR+%22unsolicited+proposal%22+OR+%22competing+bid%22&forms=8-K%2CSC+13D%2CSC+13D%2FA%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2015-01-01&enddt=2016-09-14 || rofr_rofn: https://efts.sec.gov/LATEST/search-index?q=VTAE+%22Vitae+Pharmaceuticals%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22right+of+first+offer%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2016-09-14 || public_process: https://efts.sec.gov/LATEST/search-index?q=VTAE+%22Vitae+Pharmaceuticals%2C+Inc.%22+%22announced%22+%22strategic+review%22+OR+%22publicly+disclosed%22+%22strategic+alternatives%22+OR+%22prior+failed+process%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2016-09-14 EDGAR unavailable; generated manual review queries instead. No local source-backed prior public signal found yet. Search target generated only. Acquisition announcement date backfilled from acquisition_announcement_dates.csv (HIGH confidence).
RHC-0011-ACQUIRED-CLCD,CLCD,"CoLucid Pharmaceuticals, Inc.",2017-01-18,2015-01-01,2017-01-18,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NEEDS_MANUAL_REVIEW,,,LOW,Run the generated SEC queries manually and record hit/no-hit evidence with source URL and excerpt.,Manual/EDGAR queries: strategic_alternatives: https://efts.sec.gov/LATEST/search-index?q=CLCD+%22CoLucid+Pharmaceuticals%2C+Inc.%22+%22strategic+alternatives%22+OR+%22review+of+strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2017-01-18 || banker_advisor: https://efts.sec.gov/LATEST/search-index?q=CLCD+%22CoLucid+Pharmaceuticals%2C+Inc.%22+%22financial+advisor%22+OR+%22retained%22+OR+%22engaged%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2017-01-18 || activist_13d: https://efts.sec.gov/LATEST/search-index?q=CLCD+%22CoLucid+Pharmaceuticals%2C+Inc.%22+%22Item+4%22+OR+%22maximize+shareholder+value%22+OR+%22sale+of+the+company%22+OR+%22strategic+alternatives%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2017-01-18 || competing_bid: https://efts.sec.gov/LATEST/search-index?q=CLCD+%22CoLucid+Pharmaceuticals%2C+Inc.%22+%22publicly+announced%22+%22proposal%22+OR+%22unsolicited+proposal%22+OR+%22competing+bid%22&forms=8-K%2CSC+13D%2CSC+13D%2FA%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2015-01-01&enddt=2017-01-18 || rofr_rofn: https://efts.sec.gov/LATEST/search-index?q=CLCD+%22CoLucid+Pharmaceuticals%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22right+of+first+offer%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2017-01-18 || public_process: https://efts.sec.gov/LATEST/search-index?q=CLCD+%22CoLucid+Pharmaceuticals%2C+Inc.%22+%22announced%22+%22strategic+review%22+OR+%22publicly+disclosed%22+%22strategic+alternatives%22+OR+%22prior+failed+process%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2017-01-18 EDGAR unavailable; generated manual review queries instead. No local source-backed prior public signal found yet. Search target generated only. Acquisition announcement date backfilled from acquisition_announcement_dates.csv (HIGH confidence).
RHC-0012-ACQUIRED-DMTX,DMTX,"Dimension Therapeutics, Inc.",2017-10-03,2015-01-01,2017-10-03,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,CONFIRMED_HIT,https://www.sec.gov/Archives/edgar/data/1592288/000119312517300359/0001193125-17-300359-index.htm,"ersigned hereunto duly authorized. DIMENSION THERAPEUTICS, INC. By: /s/ Mary Thistle Name: Mary Thistle Title: Chief Operating Officer Dated: October 2, 2017 EX-99.1 2 d468762dex991.htm EX-99.1 EX-99.1 EXHIBIT 99.1 Dimension Board Determines that Ultragenyx’s Unsolicited Proposal to Acquire Dimension for $6.00 Per Share Constitutes a “Superior Proposal” REGENXBIO Waives Matching Rights CAMBRIDGE, MA – October 2...",HIGH,Use as adjudicated true prior public signal candidate; do not mark VERIFIED until independent review.,Manual/EDGAR queries: strategic_alternatives: https://efts.sec.gov/LATEST/search-index?q=DMTX+%22Dimension+Therapeutics%2C+Inc.%22+%22strategic+alternatives%22+OR+%22review+of+strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2017-10-03 || banker_advisor: https://efts.sec.gov/LATEST/search-index?q=DMTX+%22Dimension+Therapeutics%2C+Inc.%22+%22financial+advisor%22+OR+%22retained%22+OR+%22engaged%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2017-10-03 || activist_13d: https://efts.sec.gov/LATEST/search-index?q=DMTX+%22Dimension+Therapeutics%2C+Inc.%22+%22Item+4%22+OR+%22maximize+shareholder+value%22+OR+%22sale+of+the+company%22+OR+%22strategic+alternatives%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2017-10-03 || competing_bid: https://efts.sec.gov/LATEST/search-index?q=DMTX+%22Dimension+Therapeutics%2C+Inc.%22+%22publicly+announced%22+%22proposal%22+OR+%22unsolicited+proposal%22+OR+%22competing+bid%22&forms=8-K%2CSC+13D%2CSC+13D%2FA%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2015-01-01&enddt=2017-10-03 || rofr_rofn: https://efts.sec.gov/LATEST/search-index?q=DMTX+%22Dimension+Therapeutics%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22right+of+first+offer%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2017-10-03 || public_process: https://efts.sec.gov/LATEST/search-index?q=DMTX+%22Dimension+Therapeutics%2C+Inc.%22+%22announced%22+%22strategic+review%22+OR+%22publicly+disclosed%22+%22strategic+alternatives%22+OR+%22prior+failed+process%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2017-10-03 EDGAR unavailable; generated manual review queries instead. No local source-backed prior public signal found yet. Search target generated only. Acquisition announcement date backfilled from acquisition_announcement_dates.csv (HIGH confidence). Adjudicator classified source filings as TRUE_PUBLIC_PRIOR_SIGNAL (public_competing_bid_or_process|public_competing_bid_or_process|public_competing_bid_or_process|public_competing_bid_or_proposal).
RHC-0014-ACQUIRED-AVXS,AVXS,"AveXis, Inc.",2018-04-09,2015-01-01,2018-04-09,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NEEDS_MANUAL_REVIEW,,,LOW,Run the generated SEC queries manually and record hit/no-hit evidence with source URL and excerpt.,Manual/EDGAR queries: strategic_alternatives: https://efts.sec.gov/LATEST/search-index?q=AVXS+%22AveXis%2C+Inc.%22+%22strategic+alternatives%22+OR+%22review+of+strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2018-04-09 || banker_advisor: https://efts.sec.gov/LATEST/search-index?q=AVXS+%22AveXis%2C+Inc.%22+%22financial+advisor%22+OR+%22retained%22+OR+%22engaged%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2018-04-09 || activist_13d: https://efts.sec.gov/LATEST/search-index?q=AVXS+%22AveXis%2C+Inc.%22+%22Item+4%22+OR+%22maximize+shareholder+value%22+OR+%22sale+of+the+company%22+OR+%22strategic+alternatives%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2018-04-09 || competing_bid: https://efts.sec.gov/LATEST/search-index?q=AVXS+%22AveXis%2C+Inc.%22+%22publicly+announced%22+%22proposal%22+OR+%22unsolicited+proposal%22+OR+%22competing+bid%22&forms=8-K%2CSC+13D%2CSC+13D%2FA%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2015-01-01&enddt=2018-04-09 || rofr_rofn: https://efts.sec.gov/LATEST/search-index?q=AVXS+%22AveXis%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22right+of+first+offer%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2018-04-09 || public_process: https://efts.sec.gov/LATEST/search-index?q=AVXS+%22AveXis%2C+Inc.%22+%22announced%22+%22strategic+review%22+OR+%22publicly+disclosed%22+%22strategic+alternatives%22+OR+%22prior+failed+process%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2018-04-09 EDGAR unavailable; generated manual review queries instead. No local source-backed prior public signal found yet. Search target generated only. Acquisition announcement date backfilled from acquisition_announcement_dates.csv (HIGH confidence).
RHC-0016-ACQUIRED-CASC,CASC,"Cascadian Therapeutics, Inc.",2018-01-31,2015-01-01,2018-01-31,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NEEDS_MANUAL_REVIEW,,,LOW,Run the generated SEC queries manually and record hit/no-hit evidence with source URL and excerpt.,Manual/EDGAR queries: strategic_alternatives: https://efts.sec.gov/LATEST/search-index?q=CASC+%22Cascadian+Therapeutics%2C+Inc.%22+%22strategic+alternatives%22+OR+%22review+of+strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2018-01-31 || banker_advisor: https://efts.sec.gov/LATEST/search-index?q=CASC+%22Cascadian+Therapeutics%2C+Inc.%22+%22financial+advisor%22+OR+%22retained%22+OR+%22engaged%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2018-01-31 || activist_13d: https://efts.sec.gov/LATEST/search-index?q=CASC+%22Cascadian+Therapeutics%2C+Inc.%22+%22Item+4%22+OR+%22maximize+shareholder+value%22+OR+%22sale+of+the+company%22+OR+%22strategic+alternatives%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2018-01-31 || competing_bid: https://efts.sec.gov/LATEST/search-index?q=CASC+%22Cascadian+Therapeutics%2C+Inc.%22+%22publicly+announced%22+%22proposal%22+OR+%22unsolicited+proposal%22+OR+%22competing+bid%22&forms=8-K%2CSC+13D%2CSC+13D%2FA%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2015-01-01&enddt=2018-01-31 || rofr_rofn: https://efts.sec.gov/LATEST/search-index?q=CASC+%22Cascadian+Therapeutics%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22right+of+first+offer%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2018-01-31 || public_process: https://efts.sec.gov/LATEST/search-index?q=CASC+%22Cascadian+Therapeutics%2C+Inc.%22+%22announced%22+%22strategic+review%22+OR+%22publicly+disclosed%22+%22strategic+alternatives%22+OR+%22prior+failed+process%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2018-01-31 EDGAR unavailable; generated manual review queries instead. No local source-backed prior public signal found yet. Search target generated only. Acquisition announcement date backfilled from acquisition_announcement_dates.csv (HIGH confidence).
RHC-0018-ACQUIRED-RXDX,RXDX,"Ignyta, Inc.",2017-12-22,2015-01-01,2017-12-22,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NEEDS_MANUAL_REVIEW,,,LOW,Run the generated SEC queries manually and record hit/no-hit evidence with source URL and excerpt.,Manual/EDGAR queries: strategic_alternatives: https://efts.sec.gov/LATEST/search-index?q=RXDX+%22Ignyta%2C+Inc.%22+%22strategic+alternatives%22+OR+%22review+of+strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2017-12-22 || banker_advisor: https://efts.sec.gov/LATEST/search-index?q=RXDX+%22Ignyta%2C+Inc.%22+%22financial+advisor%22+OR+%22retained%22+OR+%22engaged%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2017-12-22 || activist_13d: https://efts.sec.gov/LATEST/search-index?q=RXDX+%22Ignyta%2C+Inc.%22+%22Item+4%22+OR+%22maximize+shareholder+value%22+OR+%22sale+of+the+company%22+OR+%22strategic+alternatives%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2017-12-22 || competing_bid: https://efts.sec.gov/LATEST/search-index?q=RXDX+%22Ignyta%2C+Inc.%22+%22publicly+announced%22+%22proposal%22+OR+%22unsolicited+proposal%22+OR+%22competing+bid%22&forms=8-K%2CSC+13D%2CSC+13D%2FA%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2015-01-01&enddt=2017-12-22 || rofr_rofn: https://efts.sec.gov/LATEST/search-index?q=RXDX+%22Ignyta%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22right+of+first+offer%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2017-12-22 || public_process: https://efts.sec.gov/LATEST/search-index?q=RXDX+%22Ignyta%2C+Inc.%22+%22announced%22+%22strategic+review%22+OR+%22publicly+disclosed%22+%22strategic+alternatives%22+OR+%22prior+failed+process%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2017-12-22 EDGAR unavailable; generated manual review queries instead. No local source-backed prior public signal found yet. Search target generated only. Acquisition announcement date backfilled from acquisition_announcement_dates.csv (HIGH confidence).
RHC-0019-ACQUIRED-ALDR,ALDR,Alder BioPharmaceuticals,2019-09-16,2016-01-01,2019-09-16,strategic_alternatives|banker_advisor|activist_13d|competing_bid|rofr_rofn|public_process,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NEEDS_MANUAL_REVIEW,,,LOW,Run the generated SEC queries manually and record hit/no-hit evidence with source URL and excerpt.,Manual/EDGAR queries: strategic_alternatives: https://efts.sec.gov/LATEST/search-index?q=ALDR+%22Alder+BioPharmaceuticals%22+%22strategic+alternatives%22+OR+%22review+of+strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2016-01-01&enddt=2019-09-16 || banker_advisor: https://efts.sec.gov/LATEST/search-index?q=ALDR+%22Alder+BioPharmaceuticals%22+%22financial+advisor%22+OR+%22retained%22+OR+%22engaged%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2016-01-01&enddt=2019-09-16 || activist_13d: https://efts.sec.gov/LATEST/search-index?q=ALDR+%22Alder+BioPharmaceuticals%22+%22Item+4%22+OR+%22maximize+shareholder+value%22+OR+%22sale+of+the+company%22+OR+%22strategic+alternatives%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2016-01-01&enddt=2019-09-16 || competing_bid: https://efts.sec.gov/LATEST/search-index?q=ALDR+%22Alder+BioPharmaceuticals%22+%22publicly+announced%22+%22proposal%22+OR+%22unsolicited+proposal%22+OR+%22competing+bid%22&forms=8-K%2CSC+13D%2CSC+13D%2FA%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2016-01-01&enddt=2019-09-16 || rofr_rofn: https://efts.sec.gov/LATEST/search-index?q=ALDR+%22Alder+BioPharmaceuticals%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22right+of+first+offer%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2016-01-01&enddt=2019-09-16 || public_process: https://efts.sec.gov/LATEST/search-index?q=ALDR+%22Alder+BioPharmaceuticals%22+%22announced%22+%22strategic+review%22+OR+%22publicly+disclosed%22+%22strategic+alternatives%22+OR+%22prior+failed+process%22&forms=8-K%2C10-Q%2C10-K%2CSC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2016-01-01&enddt=2019-09-16 EDGAR unavailable; generated manual review queries instead. No local source-backed prior public signal found yet. Search target generated only. Acquisition announcement date backfilled from acquisition_announcement_dates.csv (HIGH confidence).
