case_id,ticker,company_name,adjudication_status,announcement_date,earliest_possible_signal_date,days_signal_before_announcement,filing_types_in_lookback,possible_signal_keywords,likely_signal_category,likely_edge_value,reason
RHC-0001-ACQUIRED-NPSP,NPSP,"NPS Pharmaceuticals, Inc.",DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,2015-01-12,,,8-K|SC 14D9,,no_public_prior_signal,NONE,No public prior signal currently identified in batch result.
RHC-0002-ACQUIRED-PCYC,PCYC,"Pharmacyclics, Inc.",DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,2015-03-06,,,8-K|SC 14D9,,no_public_prior_signal,NONE,No public prior signal currently identified in batch result.
RHC-0003-ACQUIRED-ZSPH,ZSPH,"ZS Pharma, Inc.",DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,2015-11-06,,,8-K|SC 14D9,,no_public_prior_signal,NONE,No public prior signal currently identified in batch result.
RHC-0004-ACQUIRED-ANAC,ANAC,"Anacor Pharmaceuticals, Inc.",DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,2016-05-16,,,8-K|SC 14D9,,no_public_prior_signal,NONE,No public prior signal currently identified in batch result.
RHC-0005-ACQUIRED-CPXX,CPXX,"Celator Pharmaceuticals, Inc.",RIGHTS_LANGUAGE_ONLY,2016-05-31,2016-03-23,69,8-K|10-K|DEF 14A|10-Q|SC 13D/A,right of first refusal,rights_language,NONE,Rights-language hit appears legal or generic rather than whole-company process evidence.
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",TRUE_PUBLIC_PRIOR_SIGNAL,2016-08-22,2016-04-28,116,10-K|8-K|DEF 14A|10-Q|SC 14D9,proposal from|proposal to acquire|proposal from|unsolicited proposal|proposal to acquire|proposal to acquire|unsolicited proposal|strategic alternatives,unsolicited_proposal,HIGH,Adjudicated as public prior signal; category inferred as unsolicited_proposal. Earliest signal was 116 days before announcement.
RHC-0007-ACQUIRED-RLYP,RLYP,"Relypsa, Inc.",DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,2016-07-21,,,8-K|SC 13D/A|10-K|DEF 14A|10-Q,,no_public_prior_signal,NONE,No public prior signal currently identified in batch result.
RHC-0008-ACQUIRED-TBRA,TBRA,"Tobira Therapeutics, Inc.",PRIVATE_BACKGROUND_ONLY,2016-09-20,,,8-K|SC 14D9,,private_background_only,NONE,Signal appears in transaction-background narrative but was not public before announcement.
RHC-0009-ACQUIRED-VTAE,VTAE,"Vitae Pharmaceuticals, Inc.",DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,2016-09-14,,,8-K|DEF 14A|10-Q|10-K,,no_public_prior_signal,NONE,No public prior signal currently identified in batch result.
RHC-0010-ACQUIRED-ARIA,ARIA,"ARIAD Pharmaceuticals, Inc.",PRIVATE_BACKGROUND_ONLY,2017-01-09,,,8-K|SC 14D9,,private_background_only,NONE,Signal appears in transaction-background narrative but was not public before announcement.
RHC-0011-ACQUIRED-CLCD,CLCD,"CoLucid Pharmaceuticals, Inc.",DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,2017-01-18,,,8-K|SC 13D|10-Q,,no_public_prior_signal,NONE,No public prior signal currently identified in batch result.
RHC-0012-ACQUIRED-DMTX,DMTX,"Dimension Therapeutics, Inc.",TRUE_PUBLIC_PRIOR_SIGNAL,2017-10-03,2017-08-25,39,DEF 14A|8-K|10-Q|10-K,acquisition proposal|financial advisor|right of first refusal|superior proposal|unsolicited proposal|financial advisor|proposal from|unsolicited proposal|financial advisor|proposal from|superior proposal|unsolicited proposal|proposal to acquire|superior proposal|unsolicited proposal,superior_proposal,HIGH,Adjudicated as public prior signal; category inferred as superior_proposal. Earliest signal was 39 days before announcement.
RHC-0013-ACQUIRED-KITE,KITE,"Kite Pharma, Inc.",PRIVATE_BACKGROUND_ONLY,2017-08-28,,,8-K|SC 14D9,,private_background_only,NONE,Signal appears in transaction-background narrative but was not public before announcement.
RHC-0014-ACQUIRED-AVXS,AVXS,"AveXis, Inc.",DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,2018-04-09,,,8-K|10-Q|SC 13D/A|10-K|DEF 14A,,no_public_prior_signal,NONE,No public prior signal currently identified in batch result.
RHC-0015-ACQUIRED-BIVV,BIVV,Bioverativ Inc.,PRIVATE_BACKGROUND_ONLY,2018-01-22,,,8-K|SC 14D9,,private_background_only,NONE,Signal appears in transaction-background narrative but was not public before announcement.
RHC-0016-ACQUIRED-CASC,CASC,"Cascadian Therapeutics, Inc.",DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,2018-01-31,,,8-K|SC 13D/A|10-Q|10-K|DEF 14A|SC 13D,,no_public_prior_signal,NONE,No public prior signal currently identified in batch result.
RHC-0017-ACQUIRED-JUNO,JUNO,"Juno Therapeutics, Inc.",PRIVATE_BACKGROUND_ONLY,2018-01-22,,,8-K|SC 14D9,,private_background_only,NONE,Signal appears in transaction-background narrative but was not public before announcement.
RHC-0018-ACQUIRED-RXDX,RXDX,"Ignyta, Inc.",DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,2017-12-22,,,8-K|10-Q|10-K|DEF 14A,,no_public_prior_signal,NONE,No public prior signal currently identified in batch result.
RHC-0019-ACQUIRED-ALDR,ALDR,Alder BioPharmaceuticals,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,2019-09-16,,,8-K|SC 13D|SC 13D/A|DEF 14A|10-Q|10-K,,no_public_prior_signal,NONE,No public prior signal currently identified in batch result.
RHC-0020-ACQUIRED-ARRY,ARRY,Array BioPharma Inc.,ASSET_SPECIFIC_RIGHTS_ONLY,2019-06-17,2018-02-06,496,8-K|10-Q|10-K|DEF 14A,right of first refusal,asset_specific_rights,NONE,"Rights signal appears limited to an asset or program, not a company-level sale process."
RHC-0021-ACQUIRED-CMTA,CMTA,Clementia Pharmaceuticals Inc.,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,2019-02-25,,,SC 13D/A,,no_public_prior_signal,NONE,No public prior signal currently identified in batch result.
RHC-0022-ACQUIRED-LOXO,LOXO,"Loxo Oncology, Inc.",DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,2019-01-07,,,8-K|10-Q|SC 13D/A|10-K|DEF 14A,,no_public_prior_signal,NONE,No public prior signal currently identified in batch result.
RHC-0023-ACQUIRED-NITE,NITE,Nightstar Therapeutics plc,DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,2019-03-04,,,SC 13D|SC 13D/A,,no_public_prior_signal,NONE,No public prior signal currently identified in batch result.
RHC-0024-ACQUIRED-ONCE,ONCE,"Spark Therapeutics, Inc.",DEAL_ANNOUNCEMENT_BASELINE_CANDIDATE,2019-02-25,,,10-Q|8-K|10-K|SC 13D/A|DEF 14A,,no_public_prior_signal,NONE,No public prior signal currently identified in batch result.
