candidate_id,ticker,company_name,likely_outcome_type,likely_outcome_year,outcome_source_hint,outcome_edgar_query,prior_process_signal_query,prior_13d_query,prior_rofr_exhibit_query,proxy_or_s4_query,verification_status,priority,reason_for_inclusion,notes
RHC-0001-ACQUIRED-NPSP,NPSP,"NPS Pharmaceuticals, Inc.",ACQUIRED,2015,Shire acquisition; verify with 8-K merger agreement and proxy.,https://efts.sec.gov/LATEST/search-index?q=NPSP+%22NPS+Pharmaceuticals%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,https://efts.sec.gov/LATEST/search-index?q=NPSP+%22NPS+Pharmaceuticals%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22review+of+strategic+alternatives%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,https://efts.sec.gov/LATEST/search-index?q=NPSP+%22NPS+Pharmaceuticals%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,https://efts.sec.gov/LATEST/search-index?q=NPSP+%22NPS+Pharmaceuticals%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,https://efts.sec.gov/LATEST/search-index?q=NPSP+%22NPS+Pharmaceuticals%2C+Inc.%22+%22background+of+the+merger%22+OR+%22reasons+for+the+merger%22+OR+%22S-4%22&forms=DEFM14A%2CDEF+14A%2CS-4%2C424B3&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,CANDIDATE,HIGH,Likely resolved historical ACQUIRED outcome; mine backward for pre-outcome process signals.,Candidate only. Outcome and prior process evidence require primary-source verification.
RHC-0002-ACQUIRED-PCYC,PCYC,"Pharmacyclics, Inc.",ACQUIRED,2015,AbbVie acquisition; verify with 8-K merger agreement and proxy.,https://efts.sec.gov/LATEST/search-index?q=PCYC+%22Pharmacyclics%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,https://efts.sec.gov/LATEST/search-index?q=PCYC+%22Pharmacyclics%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22review+of+strategic+alternatives%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,https://efts.sec.gov/LATEST/search-index?q=PCYC+%22Pharmacyclics%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,https://efts.sec.gov/LATEST/search-index?q=PCYC+%22Pharmacyclics%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,https://efts.sec.gov/LATEST/search-index?q=PCYC+%22Pharmacyclics%2C+Inc.%22+%22background+of+the+merger%22+OR+%22reasons+for+the+merger%22+OR+%22S-4%22&forms=DEFM14A%2CDEF+14A%2CS-4%2C424B3&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,CANDIDATE,HIGH,Likely resolved historical ACQUIRED outcome; mine backward for pre-outcome process signals.,Candidate only. Outcome and prior process evidence require primary-source verification.
RHC-0003-ACQUIRED-ZSPH,ZSPH,"ZS Pharma, Inc.",ACQUIRED,2015,AstraZeneca acquisition; verify with 8-K merger agreement and proxy.,https://efts.sec.gov/LATEST/search-index?q=ZSPH+%22ZS+Pharma%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,https://efts.sec.gov/LATEST/search-index?q=ZSPH+%22ZS+Pharma%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22review+of+strategic+alternatives%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,https://efts.sec.gov/LATEST/search-index?q=ZSPH+%22ZS+Pharma%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,https://efts.sec.gov/LATEST/search-index?q=ZSPH+%22ZS+Pharma%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,https://efts.sec.gov/LATEST/search-index?q=ZSPH+%22ZS+Pharma%2C+Inc.%22+%22background+of+the+merger%22+OR+%22reasons+for+the+merger%22+OR+%22S-4%22&forms=DEFM14A%2CDEF+14A%2CS-4%2C424B3&dateRange=custom&startdt=2015-01-01&enddt=2015-12-31,CANDIDATE,HIGH,Likely resolved historical ACQUIRED outcome; mine backward for pre-outcome process signals.,Candidate only. Outcome and prior process evidence require primary-source verification.
RHC-0004-ACQUIRED-ANAC,ANAC,"Anacor Pharmaceuticals, Inc.",ACQUIRED,2016,Pfizer acquisition; verify with 8-K merger agreement and proxy.,https://efts.sec.gov/LATEST/search-index?q=ANAC+%22Anacor+Pharmaceuticals%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2016-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=ANAC+%22Anacor+Pharmaceuticals%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22review+of+strategic+alternatives%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=ANAC+%22Anacor+Pharmaceuticals%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=ANAC+%22Anacor+Pharmaceuticals%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=ANAC+%22Anacor+Pharmaceuticals%2C+Inc.%22+%22background+of+the+merger%22+OR+%22reasons+for+the+merger%22+OR+%22S-4%22&forms=DEFM14A%2CDEF+14A%2CS-4%2C424B3&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,CANDIDATE,HIGH,Likely resolved historical ACQUIRED outcome; mine backward for pre-outcome process signals.,Candidate only. Outcome and prior process evidence require primary-source verification.
RHC-0005-ACQUIRED-CPXX,CPXX,"Celator Pharmaceuticals, Inc.",ACQUIRED,2016,Jazz acquisition; verify with 8-K merger agreement and tender offer filings.,https://efts.sec.gov/LATEST/search-index?q=CPXX+%22Celator+Pharmaceuticals%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2016-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=CPXX+%22Celator+Pharmaceuticals%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22review+of+strategic+alternatives%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=CPXX+%22Celator+Pharmaceuticals%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=CPXX+%22Celator+Pharmaceuticals%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=CPXX+%22Celator+Pharmaceuticals%2C+Inc.%22+%22background+of+the+merger%22+OR+%22reasons+for+the+merger%22+OR+%22S-4%22&forms=DEFM14A%2CDEF+14A%2CS-4%2C424B3&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,CANDIDATE,HIGH,Likely resolved historical ACQUIRED outcome; mine backward for pre-outcome process signals.,Candidate only. Outcome and prior process evidence require primary-source verification.
RHC-0006-ACQUIRED-MDVN,MDVN,"Medivation, Inc.",ACQUIRED,2016,Pfizer acquisition; verify with 8-K merger agreement and proxy.,https://efts.sec.gov/LATEST/search-index?q=MDVN+%22Medivation%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2016-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=MDVN+%22Medivation%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22review+of+strategic+alternatives%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=MDVN+%22Medivation%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=MDVN+%22Medivation%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=MDVN+%22Medivation%2C+Inc.%22+%22background+of+the+merger%22+OR+%22reasons+for+the+merger%22+OR+%22S-4%22&forms=DEFM14A%2CDEF+14A%2CS-4%2C424B3&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,CANDIDATE,HIGH,Likely resolved historical ACQUIRED outcome; mine backward for pre-outcome process signals.,Candidate only. Outcome and prior process evidence require primary-source verification.
RHC-0007-ACQUIRED-RLYP,RLYP,"Relypsa, Inc.",ACQUIRED,2016,Galenica acquisition; verify with 8-K merger agreement and tender offer filings.,https://efts.sec.gov/LATEST/search-index?q=RLYP+%22Relypsa%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2016-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=RLYP+%22Relypsa%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22review+of+strategic+alternatives%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=RLYP+%22Relypsa%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=RLYP+%22Relypsa%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=RLYP+%22Relypsa%2C+Inc.%22+%22background+of+the+merger%22+OR+%22reasons+for+the+merger%22+OR+%22S-4%22&forms=DEFM14A%2CDEF+14A%2CS-4%2C424B3&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,CANDIDATE,HIGH,Likely resolved historical ACQUIRED outcome; mine backward for pre-outcome process signals.,Candidate only. Outcome and prior process evidence require primary-source verification.
RHC-0008-ACQUIRED-TBRA,TBRA,"Tobira Therapeutics, Inc.",ACQUIRED,2016,Allergan acquisition; verify with 8-K merger agreement and proxy.,https://efts.sec.gov/LATEST/search-index?q=TBRA+%22Tobira+Therapeutics%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2016-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=TBRA+%22Tobira+Therapeutics%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22review+of+strategic+alternatives%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=TBRA+%22Tobira+Therapeutics%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=TBRA+%22Tobira+Therapeutics%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=TBRA+%22Tobira+Therapeutics%2C+Inc.%22+%22background+of+the+merger%22+OR+%22reasons+for+the+merger%22+OR+%22S-4%22&forms=DEFM14A%2CDEF+14A%2CS-4%2C424B3&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,CANDIDATE,HIGH,Likely resolved historical ACQUIRED outcome; mine backward for pre-outcome process signals.,Candidate only. Outcome and prior process evidence require primary-source verification.
RHC-0009-ACQUIRED-VTAE,VTAE,"Vitae Pharmaceuticals, Inc.",ACQUIRED,2016,Allergan acquisition; verify with 8-K merger agreement and tender offer filings.,https://efts.sec.gov/LATEST/search-index?q=VTAE+%22Vitae+Pharmaceuticals%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2016-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=VTAE+%22Vitae+Pharmaceuticals%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22review+of+strategic+alternatives%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=VTAE+%22Vitae+Pharmaceuticals%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=VTAE+%22Vitae+Pharmaceuticals%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,https://efts.sec.gov/LATEST/search-index?q=VTAE+%22Vitae+Pharmaceuticals%2C+Inc.%22+%22background+of+the+merger%22+OR+%22reasons+for+the+merger%22+OR+%22S-4%22&forms=DEFM14A%2CDEF+14A%2CS-4%2C424B3&dateRange=custom&startdt=2015-01-01&enddt=2016-12-31,CANDIDATE,HIGH,Likely resolved historical ACQUIRED outcome; mine backward for pre-outcome process signals.,Candidate only. Outcome and prior process evidence require primary-source verification.
RHC-0010-ACQUIRED-ARIA,ARIA,"ARIAD Pharmaceuticals, Inc.",ACQUIRED,2017,Takeda acquisition; verify with 8-K merger agreement and proxy.,https://efts.sec.gov/LATEST/search-index?q=ARIA+%22ARIAD+Pharmaceuticals%2C+Inc.%22+%22agreement+and+plan+of+merger%22+%22per+share%22&forms=8-K%2CDEFM14A%2CDEF+14A%2CSC+TO-T%2CSC+TO-I&dateRange=custom&startdt=2017-01-01&enddt=2017-12-31,https://efts.sec.gov/LATEST/search-index?q=ARIA+%22ARIAD+Pharmaceuticals%2C+Inc.%22+%22strategic+alternatives%22+OR+%22financial+advisor%22+OR+%22review+of+strategic+alternatives%22&forms=8-K%2C10-Q%2C10-K&dateRange=custom&startdt=2015-01-01&enddt=2017-12-31,https://efts.sec.gov/LATEST/search-index?q=ARIA+%22ARIAD+Pharmaceuticals%2C+Inc.%22+%22Item+4%22+OR+%22strategic+alternatives%22+OR+%22maximize+shareholder+value%22&forms=SC+13D%2CSC+13D%2FA&dateRange=custom&startdt=2015-01-01&enddt=2017-12-31,https://efts.sec.gov/LATEST/search-index?q=ARIA+%22ARIAD+Pharmaceuticals%2C+Inc.%22+%22right+of+first+refusal%22+OR+%22right+of+first+negotiation%22+OR+%22option+to+acquire%22&forms=8-K%2C10-K%2C10-Q%2CEX-10&dateRange=custom&startdt=2015-01-01&enddt=2017-12-31,https://efts.sec.gov/LATEST/search-index?q=ARIA+%22ARIAD+Pharmaceuticals%2C+Inc.%22+%22background+of+the+merger%22+OR+%22reasons+for+the+merger%22+OR+%22S-4%22&forms=DEFM14A%2CDEF+14A%2CS-4%2C424B3&dateRange=custom&startdt=2015-01-01&enddt=2017-12-31,CANDIDATE,HIGH,Likely resolved historical ACQUIRED outcome; mine backward for pre-outcome process signals.,Candidate only. Outcome and prior process evidence require primary-source verification.
