alert_id,scan_timestamp,ticker,company_name,signal_quality,signal_type,top_8k_phrase,signal_source_form,signal_source_date,signal_source_url,signal_source_accession,signal_source_excerpt,negated_8k_phrases,rofn_scope_hint,rofr_scope_hint,market_cap,price,priced_in_flag,recommended_action,false_positive_risk,fp_classification,alert_hash,first_seen,last_seen,status,flags,activist_filer,strategic_alternatives,banker_retained,has_rofn,has_rofr,conviction_tier,score,p_deal,trade_decision
ABUS_f87caf33632c89b4,2026-05-17 14:44 UTC,ABUS,Arbutus Biopharma Corporation,PROCESS,activist_13d,,,,,,,[],,,873.0,4.435,NOT_PRICED_IN,WATCH,MEDIUM,DOWNGRADE_WATCH,f87caf33632c89b4,2026-05-17 14:44 UTC,2026-05-17 14:44 UTC,NEW,ACTIVIST 13D: Unknown (2026-04-28 00:00:00)|Change-of-control provisions in DEF 14A (undisclosed estimated payout),Unknown,False,False,False,False,HIGH_CONVICTION,81.7,0.3,WATCH
ACLX_895a57ed88b49b61,2026-05-17 14:44 UTC,ACLX,"Arcellx, Inc.",PROCESS,activist_13d,,,,,,,[],,,6732.0,115.07,PARTLY_REPRICED,WATCH,MEDIUM,DOWNGRADE_WATCH,895a57ed88b49b61,2026-05-17 14:44 UTC,2026-05-17 14:44 UTC,NEW,"Heavy insider selling (4.1% of mcap) — leadership exiting, not deal prep|ACTIVIST 13D: Unknown (2026-04-30 00:00:00)",Unknown,False,False,False,False,MEDIUM_CONVICTION,47.7,0.21,IGNORE
APLS_9627195b4c448e61,2026-05-17 14:44 UTC,APLS,"Apellis Pharmaceuticals, Inc.",MERGER,merger_agreement,merger agreement,,,,,,[],,,5242.0,40.9429,PARTLY_REPRICED,INVESTIGATE,NONE,KEEP_HIGH_PRIORITY,9627195b4c448e61,2026-05-17 14:44 UTC,2026-05-17 14:44 UTC,NEW,,,False,False,False,False,HIGH_CONVICTION,97.7,0.92,IGNORE
AUPH_188cfc96b2695985,2026-05-17 14:44 UTC,AUPH,Aurinia Pharmaceuticals Inc.,MERGER,merger_agreement,right of first refusal,,,,,,[],,,2113.0,15.8887,PARTLY_REPRICED,INVESTIGATE,NONE,KEEP_HIGH_PRIORITY,188cfc96b2695985,2026-05-17 14:44 UTC,2026-05-17 14:44 UTC,NEW,ROFR clause detected in 8-K — Astrazeneca has acquisition option|Change-of-control provisions in DEF 14A (undisclosed estimated payout),,False,False,False,True,HIGH_CONVICTION,100,0.92,IGNORE
BMRN_37f7bed8566af0fd,2026-05-17 14:44 UTC,BMRN,BioMarin Pharmaceutical Inc.,MERGER,merger_agreement,merger agreement,,,,,,[],,,10526.0,54.73,NOT_PRICED_IN,INVESTIGATE,NONE,KEEP_HIGH_PRIORITY,37f7bed8566af0fd,2026-05-17 14:44 UTC,2026-05-17 14:44 UTC,NEW,,,False,False,False,False,HIGH_CONVICTION,100,0.92,IGNORE
BPMC_318e36802891aad1,2026-05-17 14:44 UTC,BPMC,Blueprint Medicines Corporation,MERGER,merger_agreement,merger agreement,,,,,,[],,,8361.0,129.46,PARTLY_REPRICED,INVESTIGATE,NONE,KEEP_HIGH_PRIORITY,318e36802891aad1,2026-05-17 14:44 UTC,2026-05-17 14:44 UTC,NEW,,,False,False,False,False,WATCH,76.8,0.92,IGNORE
DAWN_21286e0eb6a02515,2026-05-17 14:44 UTC,DAWN,"Day One Biopharmaceuticals, Inc.",MERGER,merger_agreement,merger agreement,,,,,,[],,,2225.0,21.53,PARTLY_REPRICED,INVESTIGATE,NONE,KEEP_HIGH_PRIORITY,21286e0eb6a02515,2026-05-17 14:44 UTC,2026-05-17 14:44 UTC,NEW,Moderate insider selling (1.0% of mcap)|ACTIVIST 13D: Unknown (2026-04-27 00:00:00)|ROFR clause detected in 8-K — major pharma has acquisition option,Unknown,False,False,False,True,HIGH_CONVICTION,100,0.92,IGNORE
ESPR_863927bcbe4e4cc2,2026-05-17 14:44 UTC,ESPR,"Esperion Therapeutics, Inc.",MERGER,merger_agreement,merger agreement,,,,,,[],,,647.0,3.1101,PARTLY_REPRICED,INVESTIGATE,NONE,KEEP_HIGH_PRIORITY,863927bcbe4e4cc2,2026-05-17 14:44 UTC,2026-05-17 14:44 UTC,NEW,Change-of-control provisions in DEF 14A ($1.0M estimated payout),,False,False,False,False,HIGH_CONVICTION,96.3,0.92,IGNORE
FOLD_bae1ac1043fa145f,2026-05-17 14:44 UTC,FOLD,"Amicus Therapeutics, Inc.",MERGER,merger_agreement,merger agreement,,,,,,[],,,4550.0,14.49,PARTLY_REPRICED,INVESTIGATE,NONE,KEEP_HIGH_PRIORITY,bae1ac1043fa145f,2026-05-17 14:44 UTC,2026-05-17 14:44 UTC,NEW,Elevated insider selling (1.6% of mcap),,False,False,False,False,WATCH,73.0,0.644,IGNORE
INZY_ab4bbcb295c51384,2026-05-17 14:44 UTC,INZY,"Inozyme Pharma, Inc.",MERGER,merger_agreement,merger agreement,,,,,,[],,,258.0,4,PARTLY_REPRICED,INVESTIGATE,NONE,KEEP_HIGH_PRIORITY,ab4bbcb295c51384,2026-05-17 14:44 UTC,2026-05-17 14:44 UTC,NEW,Only 3.5Q runway — verify solvency before entering,,False,False,False,False,MEDIUM_CONVICTION,81.3,0.92,IGNORE
